,funds,link,location,summary,title
270,"
$15,828 raised of $15,000                    ",https://www.gofundme.com/altWhiteHouseEasteregg,"Sykesville, MD","Thank you for your interest in this campaign.  I'm sorry we do not have any eggs left!  We met our fundraising goal for 2018 and distributed 1,000 gift eggs.  If you would like to donate today, I will add your donation to the money I will be sending to PBS and NPR.  The campaign closes on April 1...",Alt White House Easter Egg 2018
271,"
$13,738 raised of $25,000                    ",https://www.gofundme.com/occupythesenate,"Los Angeles, CA","A message from Jennifer Levin, Sarah Timberman, Nina Tassler, Andrea Rothschild, and Chris Bubser:   It’s zero hour for health care in America. Republicans are doing everything they can to repeal the ACA and strip over 22 million Americans of their health insurance. The time to act is now.   Over...",Occupy the Senate: Save Healthcare
272,"
$3,211 raised of $25,000                    ",https://www.gofundme.com/eapen-thampy-legal-defense-fund,"Kansas City, MO","For his entire career, Eapen has stood up for the rights of people he believed faced injustice.   Today, Eapen needs your help.   As you know, Eapen is now facing a 10-year mandatory minimum sentence for a federal marijuana conspiracy charge.   Ten years to life. For a plant.   I support Eapen’s...",Eapen Thampy Legal Defense Fund
273,"
$1,690 raised of $40,000                    ",https://www.gofundme.com/mother039s-liver-transplant,"Des Plaines, IL","Hello, my name is Shakhnoza and I am originally from Djizak, Uzbekistan, but currently, I live and study in the USA. I need love and support from all of you at the present time. My mom, Shoira is an amazingly kind and positive woman I have seen. She taught us how to move on from negativity toward...",Help needed for Mother's Liver Transplant
274,"
$1,550 raised of $5,000                    ",https://www.gofundme.com/archiveraiding,"Amesbury, MA",Hello everybody! I'm working on important #TrumpRussia research. I have determined that the Council for National Policy and various other Reagan-Era far right groups helped usher in this despicable moment in time we are in.  #TrumpRussia started 40 years ago and I am proving it/ I've already obta...,#TrumpRussia archive raiding
275,"
$3,911 raised of $4,000                    ",https://www.gofundme.com/def-con-26-election-security,"Brooklyn, NY","ELECTION SECURITY NEEDS YOUR SUPPORT!  Hello! I'm Lulu Friesdat. I'm an Emmy award-winning journalist and documentary filmmaker  focusing on election security.  I have worked extensively with all of the major news networks, and my work has also appeared on HBO. My election security investigations...",DEF CON 26 - Election Security
276,"
$13,785 raised of $15,000                    ",https://www.gofundme.com/alt-white-house-easter-egg-2019,"Sykesville, MD",“Protect Our Children's Future” 2019 egg is an alternative answer to the souvenir White House Easter Egg distributed at the annual Easter Egg Roll on Easter Monday. For the third year we’ve created a limited-edition wooden egg  to raise money for the vital programs that fight against the current...,Alt White House Easter Egg 2019
277,"
$5,666 raised of $5,000                    ",https://www.gofundme.com/45qg9cw,"Somerset, MA","Our dear son, William ""Tucker"" Keene, was taken from this world on June 11th, 2017, at the age of just 25.  Tucker was raised in Dartmouth, MA, graduated from Southern Methodist University in Dallas, TX in 2014 and went on to live in Albuquerque, NM where he worked as Director of Communications f...",Tucker Keene Memorial Fund
278,"
$30,906 raised of $100,000                    ",https://www.gofundme.com/1812Homestead,"Willsboro, NY","WHAT IS THE 1812 HOMESTEAD?  The 1812 Homestead, located in Willsboro, New York, is a museum, educational foundation, and a living history farm which occupies 130 acres of land near Long Pond at the site of what was a 19th century inn and pioneer homestead. The Homestead offers hands-on experienc...",1812 Homestead Fundraiser
279,"
$1,630 raised of $2,500                    ",https://www.gofundme.com/build-the-wall-10-feet-higher,"Moscow, ID","In late 2016, the WSU College Republicans constructed an 8x20 foot wall on Todd Steps. We engaged in debates and tried to raise awareness of the issue of illegal immigration and border security. This event ended up drawing literally thousands of people and made it on national news. Two years late...",Build The Wall: 10 Feet Higher
280,"
$3,395 raised of $5,500                    ",https://www.gofundme.com/red-state-postcard-project,"Brooklyn, NY","Help flood Republicans in Congress with anti-Trump postcards mailed by their own constituents!  Six Degrees of Resistance is a Brooklyn-based, grass-roots group that sends FREE packets of 60 postcards to Resistors in key Red and Purple states – pre-stamped and pre-addressed to their Members of Co...",Six Degrees of Resistance POSTCARDS
281,"
$3,145 raised of $3,000                    ",https://www.gofundme.com/couragecampaign,"Sunnyside, NY","Our Campaign: We are going to Washington D.C. February 21st-23rd and will bring 535 copies of ""Profiles in Courage"" to hand out to every member of Congress.  We need funds by February 15th to be able to place the order in time!!! We believe that the dangerous Trump administration is not as inept...",Call for Courage
282,"
$435 raised of $250.0M                    ",https://www.gofundme.com/heathcare-for-devin-nunes039-cow,"Woodacre, CA",summary was NoneType,COW-mprehensive Heath Care for Devin Nunes' Cow
283,"
$2,520 raised of $3,000                    ",https://www.gofundme.com/block-bronx-bolshevik,"Bronx, NY","There’s a quiet rebellion against socialism in NY-CD14, which Alexandria Ocasio Cortez (#BronxBolshevik) is running to represent.   Block Bronx Bolshevik is a grassroots campaign to raise awareness that Joseph Crowley remains on the ballot on the Working Families Party line, and to encourage Demo...",Block Bronx Bolshevik
284,"
$1,167 raised of $5,000                    ",https://www.gofundme.com/help-me-resist-trump-and-the-gop,"Austin, TX","After five years as co-founder and main writer of Forward Progressives, we've decided to shut the site down. Not because we've lost our passion for politics or because our mission changed, but because of Facebook.   In January, the social networking site made some drastic changes to the algorithm...",Help Me Resist Trump and the GOP
285,"
$1,345 raised of $20,000                    ",https://www.gofundme.com/grabthembytheballot,"Winooski, VT",Imagine the Guerrilla Girls nude! Grab Them By The Ballot (www.grabthembytheballot.org/) is a nude photography campaign that went viral during the mid-term elections.  We empower women by stripping away the layers of shame around our bodies and sexuality.  We have recently been interviewed by CNN...,Grab Them By The Ballot
286,"
$2,230 raised of $3,900                    ",https://www.gofundme.com/ErikJill2016,"Chico, CA",UPDATE! #FreeRedFawn #DefundDAPL #BankExit www.FreeRedFawn.com www.DefundDAPL.org I spent several weeks @Standing Rock. I witnessed every moment on Backwater Bridge November 20th and had my megaphone with me to try and talk the police down from giving 167 people hypothermia with water cannons and...,Jill2016 Volunteer Coordinator CA
287,"
$2,592 raised of $10,000                    ",https://www.gofundme.com/stand-up-to-trump,"Woodland Hills, CA","SUMMARY: Jill put herself out there, facing off with Donald Trump. Let’s show her some love. Despite her initial reluctance and great fear, Jill Harth courageously decided to share her allegations of being sexually harassed and assaulted by Republican Presidential Nominee, Donald Trump. She was t...",Help Stand Up to Donald Trump
288,"
$8,475 raised of $12,000                    ",https://www.gofundme.com/khalilkirkland,"Jacksonville, NC","On Sunday, January 3rd, 2016...Carl Eisert and Khalil Kirkland were  brutally assaulted and  killed right near their home.  Carl Eisert was 72 years old and well known for his kindness and friendliness to whomever he met in the Jacksonville Community and was involved in the Republican party.  Kha...",JUSTICE Khalil & Carl Families
289,"
$5,159 raised of $13,000                    ",https://www.gofundme.com/we-go-high,"Hamilton, NY","Conversations that exposed racism, sexism, rape culture, and other bigotry behind closed doors were shared this week. But these issues are not Republican or only perpetuated soley by White Men. These are structural inequalities that benefit a majority of people on this campus, myself included. Sl...",We Go High
290,"
$805 raised of $3,500                    ",https://www.gofundme.com/over-the-border-under-the-bridge,"Glenshaw, PA","Our countries current situation, involving the southern border deserves more attention.  The issues of child separation, the building of a border wall and human rights have affected the political mind set and moral conscience of our country.  We believe that by capturing and    documenting the ev...","Over the Border, Under the Bridge"
291,"
$1,187 raised of $100,000                    ",https://www.gofundme.com/fight-facebook-censorship,"Atlanta, GA","On Thursday, October 11, 2018, Facebook unpublished over 800 accounts and pages (mostly conservative) under the guise of protecting the midterm elections in November. Oddly enough Twitter also banned accounts on their platform for the same publishers at the same time. Isn’t it interesting that th...",Fight Facebook Censorship
292,"
$7,856 raised of $50,000                    ",https://www.gofundme.com/Trump2020Trumpunitybridgetour,"Livonia, MI","UPDATE PLEASE SHARE  !!!  THANK YOU FOR YOUR ENCOURAGING GIFT !!!  Our AMAZING National BUILD THE WALL TOUR !!! Leaving Michigan to OH,PA,NY,NJ,CT,MA,MD,RI,WV,NC,SC,GA,FL,AL,MS,LA,TX,AZ,NM,CA,NV,CO,KS,MO,IL,IN&MI. Working for you the people to Make America Great Again. Starting NOW We need help f...",TRUMP 2020  TRUMP UNITY BRIDGE TOUR
293,"
$2,000 raised of $2,000                    ",https://www.gofundme.com/ArkansasBerniecrat,"Batesville, AR","My name is Dorianne Dias-Koonopakarn. I am an educator, a wife in a bi-racial marriage, and mother to four brilliant children.   I have the extraordinary honor to represent Arkansas Progressives as a delegate for Bernie Sanders at the Democratic National Convention this July in Philidelphia. I wo...",Help Send Ark Berniecrat to the DNC
294,"
$1,876 raised of $5,000                    ",https://www.gofundme.com/w8e89-help-me-study-at-university-of-minnesota,"Washington, DC",My name is Hayk Mardanyan. I am one of a handful of international students to have been admitted to the University of Minnesota Twin Cities Undergraduate Honors Program. The undergraduate program at University of Minnesota lasts for 4 years. Tuition and living expenses at the University of Minnes...,Help me study at University of Minnesota
295,"
$6,902 raised of $6,000                    ",https://www.gofundme.com/meyers-for-us-senate,"Saint George, UT","To donate online, click Donate Now above.  To donate by check:  mail to Meyers for Senate, 5391 N 2000 W, St. George, UT 84770.  By donating, you certify that: --you are a US citizen or lawfully admitted permanent resident, --the donation is made from personal funds, not from a corporation, labor...",Meyers for US Senate
296,"
$1,564 raised of $2,500                    ",https://www.gofundme.com/hangers-for-humanity,"New York, NY","As you all know, Ohio Republican Governor, John Kasich, just signed a bill that will ban abortion after 20 weeks, EVEN in cases of rape or incest. (The six week bill was a ruse to make this seem less extreme.)  January 22, 2013 is the 43rd anniversary of Roe v. Wade. To ""celebrate"" this: I WANT T...",Hangers for Humanity
297,"
$600 raised of $12,000                    ",https://www.gofundme.com/kv7vwn-my-journey,"Webster, New Hampshire",I am raising money because I don’t have insurance. I don’t make enough to cover it but make too much to qualify for state insurance. I can’t live in this body anymore. To wake up in a body that has never been mine for over 30 years has taken its toll on me. I haven’t given up. Many times I’ve wan...,My journey
298,"
$175 raised of $5,000                    ",https://www.gofundme.com/p949k-justice-for-baby-isaac,"Bangor, ME",My son Isaac has been cut off access to his dad (myself) whom loves very much. He has become a pawn by his mother whom has used him to wound his father because she leverages her son for sexual favor. Dad doesn’t put out and Isaac no longer sees dad.  Children are not pawns!!! The funds will be us...,Reunite the Burnett’s
299,"
$10,560 raised of $10,000                    ",https://www.gofundme.com/marchfortruthchi,"Chicago, IL","Support the March for Truth, and join concerned citizens in Chicago, New York, WashingtonD.C., Los Angeles  and over 70 other cities.  Saturday June 3, 2017  11 am Federal Plaza  Indivisible Chicago, a grassroots organization run entirely by volunteers, will sponsor our first large march in downt...",March for Truth Chicago
300,"
$3,046 raised of $10,000                    ",https://www.gofundme.com/a-grassroots-superpac,"South Burlington, VT","My name is Dan Barkhuff and I'm the President of Veterans For Responsible Leadership, an Emergency Room doctor, and a former combat veteran. We started as a Facebook group for veterans of all services and all party affiliations frustrated by the election of Donald Trump and the implications for o...",A Grassroots SuperPAC
301,"
$310 raised of $100,000                    ",https://www.gofundme.com/resistance-media-legal-fees,"Falls Church, VA","[UPDATE] You won't believe what's going on in Mike's Las Vegas trial. Police and prosecutors have ""lost"" four videos related to his arrest for disturbing the peace and ""assaulting"" a GOP campaign staffer. The security camera videos from the Community Center? Gone. Two separate police body camera...",Mike Stark's Resistance Media Legal Costs
302,"
$2,500 raised of $2,500                    ",https://www.gofundme.com/2a97gqs,"Shawnee, KS","Thank you very much, my name is Sarah Parrish I'm from Merriam, in Johnson County Kansas. I have been inspired by Bernie Sanders for many years.  Since the first time I saw him on The Daily Show years ago,and I asked myself who is this wonderful human being?  I was inspired then, to go back and s...",Sarah Parrish Bernie Delegate
303,"
$2,835 raised of $4,000                    ",https://www.gofundme.com/not-one-more-generation,"Powhatan, VA","Equal means equal and the Constitution, as interpreted by the Supreme Court, is the ultimate guarantor of equality in the United States. Unfortunately, even today in our very modern society, gender equality is protected only for women's voting rights, as specified in the Nineteenth Amendment. Our...",Not One More GenERAtion
304,"
$1,160 raised of $5,000                    ",https://www.gofundme.com/tracy-taylor-for-mayor,"Albany, GA","Tracy Taylor is running for Mayor on the behalf of the American people. Tracy Taylor is a firm believer in a strong economic environment that will last for generations to come. As a firefighter Tracy Taylor knows all about working with our local law enforcement, local leaders and first responders...",Tracy Taylor For Mayor
305,"
$810 raised of $75,000                    ",https://www.gofundme.com/create-the-democrat-dossier,"Lakehead, CA","Regardless of your political affiliation, you are probably interested in understanding the truth about the Russian collusion controversy.  The Democrat Dossier will examine aspects of the investigation into Russian collusion in the 2016 American presidential election, to explain how it began, who...",Create The Democrat Dossier
306,"
$1,310 raised of $14,000                    ",https://www.gofundme.com/artyom-kosyan-UChicago-tuition, ,"Hello! I am Artyom -  medalist of 14 International Science Olympiads, BA in Mathematics and BA in Business degrees holder from Yerevan State University and American University of Armenia with full scholarships simultaneously, an admitted student to the University of Chicago, Department of Mathema...",University of Chicago | Tuition
307,"
$6,390 raised of $6,500                    ",https://www.gofundme.com/2azb8mk,"Cleveland, OH","A “comixcast” is a live feed of political comics and YouTube videos, in this case live from the Republican National Convention here in Cleveland by people who detest everything Donald Trump stands for.  Yup, activists with pens and brushes mightier than his decayed sound bites.  I’m Joyce Brabner...",Comixcast from the RNC in Cleveland
308,"
$2,631 raised of $4,150                    ",https://www.gofundme.com/john-parker-socialist-4-us-senate,"Los Angeles, CA","DONATE TO THE FIGHTING FUND!  John Parker, a lifelong socialist and activist from Los Angeles is on the California primary ballot running for U.S. Senate, representing the Peace and Freedom Party. We are  collecting donations to power the Parker, socialist for US Senate Primary campaign. Please g...",Socialist John Parker 4 U.S. Senate
309,"
$3,418 raised of $4,250                    ",https://www.gofundme.com/jrmarjefferson,"Elk Grove, CA","www.facebook.com/jrmarjefferson ‌ Greetings my fellow Americans.  My name is Jrmar Jefferson. I want to go the Convention because my vote matters. I need to cast my vote still for Bernie and also I want to vote on issues of wealth inequality, prison reform, interest free loans, Fee College Books...",Leave No Delegate Behind.
310,"
$2,050 raised of $2,050                    ",https://www.gofundme.com/dreamers-to-dc,"Saint Paul, MN","Hi, I am Sonia and as you may know, I am a DACA Recipitant. As of October 5th DACA was rescinded so that puts all of DACA beneficiaries at risk of deportations if nothing gets done by March 5th of this year.   Our organization, MN  Dreamers for A Bipartisan Solution believes that a comprehensive...",Dreamers to D.C.
311,"
$5,775 raised of $15,000                    ",https://www.gofundme.com/OMalleyTheMovie,"Los Angeles, CA","One man's quest to free all of Ireland will impact his generations to come.  THE STORY   County Galway - April 11, 1923  Six soldiers of the Irish Republican Army were brutally executed in their fight to free all of Ireland from British rule.  One of the brave soldiers was Seamus O'Malley, my gre...",O'MALLEY - A USC MFA Thesis Film
312,"
$3,842 raised of $5,000                    ",https://www.gofundme.com/inauguration2,"New York, NY",We are going to shoot a documentary of the 2017 Inauguration. With so much false news and twitter feeds muddying the national consciousness we want to present a clear view of the reality from the streets of the Nation's Capital .  Twelve people have commmitted to work on this project for the week...,Inauguration Week 2017
313,"
$4,115 raised of $100,000                    ",https://www.gofundme.com/ShowMeTheVotes,"Wichita, KS","Ph.D. statistician Beth Clarkson would like to audit the voting machines in Sedgwick County, Kansas to verify that they are accurately counting the votes cast.    Vote counts from electronic voting machines show patterns that are unexpected and unexplained and are different from patterns from pap...",Show Me The Votes - Beth Clarkson
314,"
$2,750 raised of $2,800                    ",https://www.gofundme.com/marcperez4tedcruz,"Puyallup, WA","My name is Marc Perez and I have been elected to be one of three Delegates to go to the Republican National Convention during the week of July 17th - 22nd, representing the 10th Congressional District of WA State. I have been a most active part of the original State Leadership Team at the campaig...",RNC Convention 4 Cruz by Marc Perez
315,"
$2,815 raised of $4,000                    ",https://www.gofundme.com/winning-the-midterms,"Damariscotta, ME","Lincoln County Indivisible  is running the second of our three full-page issue ads in this week's Lincoln County News. Aimed at pushing turnout among undecideds and moderates, this ad reminds the reader that Republicans are coming for their healthcare, along with their Social Security.          ...",Winning the midterms
316,"
$10,576 raised of $10,000                    ",https://www.gofundme.com/families-belong-together-washington,"Seattle, WA","On June 30, 2018  immigrant organizations, allies, and concerned Washingtonians, working together as “Families Belong Together - WA”  will kick off a week of activism to protest the Trump Administration’s hate-based policies both at our southern border and within our own communities in Washington...",Families Belong Together WASHINGTON
317,"
$1,630 raised of $5,000                    ",https://www.gofundme.com/relocating-to-resist-fund,"Austin, TX","Hoping to meet campaign goal by January 10th, 2018.  In September, 2017 the current administration decided to end the DACA program for 800,000 Dreamers. This month, January, 2018 it is expected the current administration will also end the TPS work visa program for 200,000 immigrants, like myself,...",Relocating to #Resist Fund
318,"
$4,835 raised of $100,000                    ",https://www.gofundme.com/laryngeal-cancer-requires-surgery,"Cartersville, GA","*** !!! Help Help Help !!! *** Though I am not normally the type of person to ask ... this is serious. This is not a test. This is the real thing !  The Dr. said without surgery he's giving me roughly 6 months. Even after having finally quit smoking in Feb. of 2016, & alcohol in April of 2017, a...",Laryngeal Cancer requires Surgery !
319,"
$3,200 raised of $3,190                    ",https://www.gofundme.com/zs2a4cp4,"Chicago, IL","Update:  I initially didnt go public with this because I didnt want to trouble anyone, and I figured I had time to regroup and land a new job.  I did inform my closest friends and family, for emotional support. They have been very supportive.   I appreciate your listening ear and a bit of empathy...","unemployed, job hunting, need  help"
320,"
$565 raised of $700                    ",https://www.gofundme.com/c4ynp-usa-citizenship,"Tonawanda, NY","I’m raising $700 for a very close friend of mine who is from Trinidad and is trying to become a U.S. citizen. She has already been living here for 20+ years, and is recently inspired to become a citizen of our country that she loves so much. She is a productive member of society and has 3 U.S. bo...",USA CITIZENSHIP
321,"
$4,580 raised of $10,000                    ",https://www.gofundme.com/funny-ha-ha,"Brooklyn, NY","Hi, I'm Ash.                                     *************DONATE TO GET A COPY OF MY FUTURE BOOK******************                                                         ***********(SO WORTH THE WAIT I PROMISE)***********          For years my mom’s been telling me, ""Shortie (yes, this is my...",Let's Make a Memoir!
322,"
$4,643 raised of $30,000                    ",https://www.gofundme.com/politicsanotherperspective,"Silver Spring, MD","I am here to ask your help as I launch the tour to promote my new book “Politics Another Perspective: Commentary and Analysis on Race, War, Ethics and the American Political Landscape in the Age of Obama”.  My book is a collection of Op Ed’s that I have written and published over the past 9 years...",Politics Another Perspective
323,"
$4,305 raised of $4,000                    ",https://www.gofundme.com/kids-politics-dont-mix,"Portland, OR","I am not very vocal about my political beliefs, but I am  very vocal about my love for kids!  After coaching kids for 10 years now at my acting studio, Acting for Kids & Teens, and being a Mom to 6 great children, I have watched, listened and learned as they experience their world. There has neve...",Kids & Politics don't mix
324,"
$5,309 raised of $300,000                    ",https://www.gofundme.com/troen-for-congress-2020-florida-district-10,"Ocoee, FL","Fellow Floridians,  My name is Kirk Troen and I'm running for Congress in Florida's District 10.   I'm doing my best to bring some common sense to Congress. Our elected representatives spend so much time telling us about the problems of the country that they have little time left to actually DO s...",Troen for Congress 2020 Florida District 10
325,"
$13,988 raised of $20,000                    ",https://www.gofundme.com/robcressen,"Shrewsbury, NJ","Support Rob Cressen in his Fight Against CRPS/RSD For seven years, Rob Cressen has been battling a rare, debilitating disorder called CRPS/RSD.  His friends, family and colleagues are raising money to help support Rob and defray the overwhelming costs of his medical treatment. Contributions of an...",Support for Rob Cressen
326,"
$1,970 raised of $3,600                    ",https://www.gofundme.com/dashboard-268ehvng,"Stanwood, WA",I have been supporting Ted Cruz for President for over 2 years.  I began supporting Ted about a year before he made his announcement and worked with others to get over 1500 people ready to hit the ground running if Ted announced and he finally did...and what an exciting moment in history that was...,"Elected as Cruz Delegate, WA State"
327,"
$10,678 raised of $150,000                    ",https://www.gofundme.com/save-the-soap-let039s-help-buy-that-building-back,"Minneapolis, MN",summary was NoneType,SAVE THE SOAP! Let's help buy that building back.
328,"
$2,500 raised of $2,500                    ",https://www.gofundme.com/25m2mc84,"Anacortes, WA","Hey all!  It's been a while since I've had a cause of the type to approach fundraising at a personal level.  So, if you'll all indulge for a moment, this cause is of greater importance than any I've previously attempted. This past week, I was elected to attend the Democratic National Convention i...",Tim's Journey to the DNCC
329,"
$1,725 raised of $5,000                    ",https://www.gofundme.com/steventocleveland,"Albuquerque, NM","Let me Introduce myself, my name is Steven Baca, I was elected as an Alternate Delegate in New Mexico's First Congressional District. This was my first time ever running for anything political, as well as going out and having to fund raise for myself. The New Mexico GOP Convnetion was also my ver...",Time To Take a Stand in Cleveland !
330,"
$600 raised of $600                    ",https://www.gofundme.com/send-reid-publishing-to-the-state-convention,"Tulsa, OK",The Oklahoma Republican State Convention is just days away and there has never a better opportunity seizing the attention of more than 500 citizens and elected officials in one room to get the word out about Remnant Rising; A collaborative effort to reach and impact the youth with sharable conser...,Send Remnant Rising to State Convention
331,"
$1,230 raised of $10,000                    ",https://www.gofundme.com/let-nelson-stay,"Philadelphia, PA","Nelson Moncada Bucardo, a 24-year-old Philadelphia resident,  is a caring son to his mother Doris and stepfather Carlos,  watchful brother to Cristian and David, a loving companion to Christina....and yes, an illegal immigrant.  ￼ Nelson, through no choice of his own, was brought to the United St...",Let Nelson Stay
332,"
$6,127 raised of $15,000                    ",https://www.gofundme.com/secret-guerrilla-theater-fun,"Los Angeles, CA","Comrades! I must write quickly, as the government is monitoring public internet stations, hoping for some sign of me.  Years ago, in one of America’s darkest hours (no, not that one, the other one), my theatrical public-dissonance cell, the Imagination Liberation Front, emerged from the shadows w...",Secret Guerrilla Theater Fun
333,"
$1,005 raised of $2,804                    ",https://www.gofundme.com/help-everyone-vote,"Philadelphia, PA","My Story:  Like many of you, I consider voting in this upcoming midterm election one of the most important commitments on my to-do list. So I made it a priority to request my absentee ballot well before the application deadline. Last week, I was horrified to learn that I was in danger of being di...",Help Everyone Vote
334,"
$5,195 raised of $10,000                    ",https://www.gofundme.com/BobVTN4G,"Waterbury, CT","Imagine being trapped inside your own body. Your mind is still sound, your eyes and ears still function, but from your nose down you no longer control your body.    You can't speak. You can't move your arms or legs.  You are unable to do anything for yourself. Expressing your thoughts, needs and...",Bob Veillette: #TakeNothing4Granted
335,"
$1,571 raised of $1,500                    ",https://www.gofundme.com/peter-douche-parody-site,"West Sacramento, CA","DoucheLeaks is coming! To fight the growing censorship on Twitter and social media (and my inevitable ban) I'm creating a parody website, titled DoucheLeaks, which will launch on March 31st.  This new media site (platform for the 65 million) will be free for all and consist of several parody pund...",DoucheLeaks - Media Parody Site
336,"
$3,190 raised of $3,000                    ",https://www.gofundme.com/mary-jane-irwin-o039donovan-rossa-doc,"Brooklyn, NY",~~~THANK YOU FOR SO MUCH SUPPORT SO QUICKLY!  THERE IS MUCH MORE TO DO AND SO ANY DONATIONS WILL BE PUT SOLELY TOWARD THE FILM AND YOU WILL BE CREDITED.  THANK YOU!~~~  The role of women in Irish history - in all history -  is underrepresented. This documentary project will tell the story of Mary...,MARY JANE IRWIN O'DONOVAN ROSSA DOC
337,"
$1,600 raised of $30,000                    ",https://www.gofundme.com/fred-gattuso-for-mayor-fund,"Carteret, NJ","Hello everyone,  My name is Fred Gattuso and I am running for Mayor of Carteret, NJ in the 2018 election this November as The Republican GOP Candidate. Prior to joining the run for Mayor, I have worked with special needs children as a Paraprofessional in school systems as well as a Home Care Aide...",Fred Gattuso for Mayor
338,"
$4,174 raised of $5,000                    ",https://www.gofundme.com/v8gumh78,"Dallas, TX","Our dear friend Joshua Rojas, founder of Ted Cruz 2016 facebook group, state director at Texas Millennials for Ted Cruz and founder/president of The college Republicans at UTRGV Edinburg, was in a car accident on his way to Iowa to join the Cruz Strike Force. Joshua has devoted his time and effor...",Joshua Rojas accident fund
339,"
$2,570 raised of $3,900                    ",https://www.gofundme.com/2d6mvn7w,"Milwaukee, WI","Insightful New Book on Gay Men and Their Relationship With Their Father to be Publishing  Hello everyone, my name is Tim Clausen, author of Love Together: Longtime Male Couples on Healthy Intimacy and Communication, which I self-published in 2014. Love Together (www.lovetogetherbook.com) continue...",New Book on Gay Men & Their Fathers
340,"
$3,202 raised of $4,430                    ",https://www.gofundme.com/invest-in-your-democracy,"Haydenville, MA",Don't give up!  It's not too late -- now is the time to act.  Please join me!  Here's what I'm doing:  * I'm taking a month off.  * I'm traveling to New York's 19th congressional district.  * I'm volunteering my buns off full-time until the election November 6.  I feel this is a moment when all h...,Save Our Democracy!
341,"
$1,775 raised of $1,500                    ",https://www.gofundme.com/4b-march-on-washington-hope-college,"Zeeland, MI",As Donald Trump begins his presidency it is of utmost importance for Christians and all other good people to make our voices heard. The ugly language of the campaign cannot be left unchallenged. This is a non-partisan issue: both liberals and thoughtful people who voted Republican for other reaso...,"March on Washington, Hope College"
342,"
$640 raised of $1,500                    ",https://www.gofundme.com/help-tatiana-fight-fascism,"Fort Lee, NJ","The Cause   The Resistance is what I live for.  My current focus, much like yours, I imagine, is driving out the malevolent Trump/Pence regime, and my ethics, conscience, and love for humanity demand I dedicate the full strength of my abilities, my passion, and my life to this Cause...  ...but th...",Help Tatiana Fight Fascism!
343,"
$3,961 raised of $4,500                    ",https://www.gofundme.com/restore-felon-voting-rights-in-fl,"Louisa, VA","Restore ex-Felon Voting Rights, Elect Florida's first POC Governor, and Swing the U.S. Senate!  We are going to Florida to campaign for voting rights and racial justice.  With your support our 4 seasoned activists from out of state are joining local grassroots organizers to restore voting rights...",Restore Felon Voting Rights in FL
344,"
$1,802 raised of $50,000                    ",https://www.gofundme.com/BuyBackOurSenator,"Aurora, CO","WE ARE NOT RAISING MONEY FOR CORY GARDNER! All funds raised during this GoFundMe campaign will go directly to Great Education Colorado.  Did you know that the Betsy DeVos family donated $49,800 to Senator Cory Gardner's campaign ? Do you think there is a conflict of interest that needs to be addr...",Buy CO Senator Cory Gardner's vote!
345,"
$1,497 raised of $12,000                    ",https://www.gofundme.com/countrybeforeparty,"Beacon, NY",Our very democracy is under attack. The fact that Putin hacked our 2016 elections to help Donald Trump win is scary.  So is the fact our Republican led government is not taking steps to prevent them from doing it again in 2018 and 2020. Even scarier is Trump's obsequious siding with Putin over ou...,Make GOP Put Country Before Party
346,"
$85 raised of $5,000                    ",https://www.gofundme.com/20doug20,"Columbus, GA","20DOUG20  AMERICAN  I AM ANNOUNCING MY PARTICIPATION AS A PRESIDENTIAL CANDIDATE IN THE UPCOMING ELECTION IN 2020  I WILL NO BE RUNNING AS A REPUBLICAN, INDEPENDENT OR DEMOCRAT  I WILL BE RUNNING AS A AMERICAN  I WILL NOT LIE  I BELIEVE IN ALOT OF WHAT Trump SAID HE WAS GOING TO DO, I WILL DO IT...",20DOUG20
347,"
$8,100 raised of $25,000                    ",https://www.gofundme.com/jeff-hower-family-memorial-fund,"Central City, NE","Jeff was called home to God's presence. It was earlier than any of us here on this plateau were ready for - Jeff was 48.  We do not question God's sovereignty in this, and, while having the confidence that God has this, it does not reduce the pain that pierces our hearts. He was a champion of the...",Jeff Hower Family Memorial Fund
348,"
$155 raised of $5,000                    ",https://www.gofundme.com/Urgent-Cause---Save-California,"Squaw Valley, CA","Hello Patriots! My name is Walt Smith and I have lived in California almost my entire life. I have had the privilege to grow up in this state at a time when there was some sanity. The middle class flourished,  jobs were plenty, housing was affordable and our politics were a combination of sane an...",Urgent Cause - Save California
349,"
$13,580 raised of $20,000                    ",https://www.gofundme.com/ConstructingOurFuture,"Indianapolis, IN",NPR's All Things Considered and The Marshall Project have teamed up to tell the remarkable story of a radical but simple proposal to reduce recidivism and restore blighted neighborhoods—and the women in prison who are behind the idea.  Members of Constructing Our Future Vanessa Thompson was sitti...,Constructing Our Future
350,"
$8,589 raised of $25,000                    ",https://www.gofundme.com/future-of-gun-safety-david,"Houston, TX","***UPDATE  2/28/2019*** I am so grateful to the people who believe in me and my future.  Firstly, THANK YOU to everyone who has contributed so far.    In a few days, I will be traveling to Washington, D.C. for my high-school senior year, spring internship. I am thrilled to be interning for my Con...",Future of Gun Safety - David's College Fund
351,"
$3,932 raised of $10,000                    ",https://www.gofundme.com/Searching-for-Occupy,"Austin, TX","Searching for Occupy    By Crystal Zevon  Last year, after years of signing Internet petitions and not seeing anything change, I embraced the Occupy movement.  I lived in a tent in the middle of Washington D.C. for 4 months. Through snowstorms and harassment of every sort, we formed a community a...",Searching for Occupy
