,funds,link,location,title,created_date,summary
154,"
$0 raised of $10.0M                    ",https://www.gofundme.com/republican-reset,"Reno, NV",Republican Reset,"Created January 12, 2019","A grassroots campaign to fund a Republican candidate to to take back the day Republican Party! Take back the White House, take back the party  message and make the Republican Party great again!"
155,"
$0 raised of $2,500                    ",https://www.gofundme.com/donate-if-you-are-a-true-republican,"Rancho Cucamonga, CA",DONATE IF YOU ARE A TRUE REPUBLICAN,,
156,"
$0 raised of $10.0M                    ",https://www.gofundme.com/6p6x6i0,"Norfolk, VA",Supporting Republican Agendas,,
157,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-my-republican-family-move-from-ca-to-tx,"Chico, CA",Help my Republican Family move from CA to TX,"Created January 8, 2019",The working middle class struggles to make ends meet in CA.  We are taxed backwards and forwards to fund programs for those who do nothing to help themselves. This is not the ideals and values I want my children to grow up around. Being in TX opened our eyes to what else this country has to offer and to where we really want to be and where we want our children to be. Any funds raised will go towards moving costs and be greatly appreciated.
158,"
$0 raised of $20,000                    ",https://www.gofundme.com/christian-republicans-music-video,"Phoenix, AZ",Christian Republicans ( Music Video ),"Created January 12, 2019","This Song Is Decated To Trump and His Fellow Christian’s : All Profit made from this song will go too . The children who were hurt at the border.  Your Donation is an agreement . That Jesus Christ does not except locking up starving children in cages . Second Music Vid Unlocked ,If $40,000Donations Reached ! "
159,"
$0 raised of $25,000                    ",https://www.gofundme.com/republican-for-congress-2020-tx-9th-district,"Crosby, TX",David Thompson for Congress R-Tx 9th 2020 election,"Created January 4, 2019",I am running for the US House of Representatives in the Texas 9nd Congressional District.  I am a republican candidate with strong constitutionalists beliefs.  Donate now to help me fight the erosion to our god given rights.
160,"
$0 raised of $400                    ",https://www.gofundme.com/6ncniu0,"Topeka, KS",The Young Republicans Trip,,
161,"
$0 raised of $800                    ",https://www.gofundme.com/6ncmjao,"Topeka, KS",Young Republicans,,
162,"
$0 raised of $840.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheSchoolsSecurity,"Washington, DC",Republican Fund to support the Schools Security,"Created December 30, 2018","After the Massacre at the Marjory Stoneman Douglas High School in Parkland Florida that kills 17 students and injured 17 other students, the United States Republican Leadership Committee is stands up to help the School Boards around the country to provide a safer environment for the studentsAs the Republican Party's arm, the United States Republican Leadership Committee is fully supported the armed teachers at the schools to prevent a new massacre at a different school in America. Minimum Donation Amount per Individual Person : $20 Maximum Donation Amount per Individual Person : $9,600 Minimum Donation Amount per Business Donor : $500 Maximum Donation Amount per Business Donor : $49,000 All the donations that we receive from the general public will be used to support the security measures of the schools around the United States of America. Please visit our GoFundMe.com page to give your donations to support the security at the schools in the United States of America www.GoFundMe.com/RepublicanFundraiserToSupportTheSchoolsSecurity Your donations will be very appreciated by the United States Republican Committee"
163,"
$0 raised of $987.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheGovernmentShutdown,"Washington, DC",Republican Fund to support the Government Shutdown,"Created December 30, 2018","The United States Republican Leadership Committee as the arm of the Republican Party decides to support the Government Shutdown ordered by President Donald Trump to receive the $5 Billion to build the Border Wall to separate the USA from the Mexico Border and to stop the caravans of illegal immigrants who use the open border to come in the United States of America illegally. Minimum Donation Amount per Individual Person : $10 Maximum Donation Amount per Individual Person : $9,800 Minimum Donation Amount per Business Donor : $500 Maximum Donation Amount per Business Donor : $49,000All donations we receive for this fundraiser will be used to support the Government Shutdown ordered by President Donald Trump to receive the $5 Billion to build the Border Wall.You can visit the GoFundMe.com website to give your donations to support this fundraiser www.GoFundMe.com/RepublicanFundraiserToSupportTheGovernmentShutdown Your donations will be very appreciated by the United States Republican Leadership Committee"
164,"
$0 raised of $900.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheNRAGunOwners,"Washington, DC",Republican Fundraiser to support NRA Gun Owners,"Created December 30, 2018","The United States Republican Leadership Commerce wants to support the NRA Gun Owners by allowing the Americans to own the quantity of Guns they decide to own at their homes. The NRA has the rights to defend its Gun Owners around the United States of America and we are helping this organization to continue its projects by protecting all Gun Owners in AmericaThe United States Republican Leadership Committee is devoted to defend the Gun Owners Rights around the United States of AmericaMinimum Donation Amount per Individual Person : $20 Maximum Donation Amount per Individual Person : $9,300 Minimum Donation Amount per Business Donor : $1000 Maximum Donation Amount per Business Donor : $48,000 All donations receiving from the general public to support the NRA Gun Owners will be used to lobby the United States Senators and the United States Congressmen to protect the Gun Owners in AmericaPlease visit the GoFundMe.com website to make your donations to support this cause www.GoFundMe.com/RepublicanFundraiserToSupportTheNRAGunOwners Your donations will be very appreciated by the United States Republican Leadership Committee"
165,"
$0 raised of $982.0M                    ",https://www.gofundme.com/RepublicanFundraiserAgainstTheObamacare,"Washington, DC",Republican Fundraiser against the Obamacare Plans,"Created December 30, 2018","After the Federal Judge says that the Obamacare Program is unconstitutional, we decide to run this fundraiser to oppose the Obama Healthcare to continue running in the United States of America. The United States Republican Leadership Committee is devoted to oppose the Obamacare Program because it is unconstitutional and it is required the Americans to pay a penalty for refusing to take it. Minimum Donation Amount per Individual Person : $25 Maximum Donation Amount per Individual Person : $9,700 Minimum Donation Amount per Business Donor: $600 Maximum Donation Amount per Business Donor : $48,000 All donations giving from the general public to support this cause will be used to lobby the United States Senators and the United States Congressmen to end the Obamacare Program in America. Please use the GoFundMe.com website to provide your donations to the United States Republican Leadership Committee to oppose the Obamacare Program around the United States of Americawww.GoFundMe.com/RepublicanFundraiserAgainstTheObamacareYour donations will be very appreciated by the United States Republican Committee"
166,"
$0 raised of $875.0M                    ",https://www.gofundme.com/FundToProtectPresidentTrumpFromCivilLawsuits,"Washington, DC",Fund to protect President Trump from Civil Lawsuit,"Created December 30, 2018","The United States Republican Leadership Committee wants to protect the President Donald Trump from the Civil Lawsuits filed against him for Sexual Assaults, for Sexual Harassments, etc. Our mission as the Republican Party's arm is to protect our Republican President Donald Trump from all civil lawsuits filed at the Federal Courthouses against him and against the Trump Organization. Minimum Donation Amount per Individual Donor : $30 Maximum Donation Amount per Individual Donor : $9,800 Minimum Donation Amount per Business Donor : $600 Maximum Donation Amount per Business Donor : $49,000 All donations receiving from the general public to support this fundraiser will be used to support President Donald Trump from the civil lawsuits filed at the Federal Courthouses against him and against the Trump Organization for its wrongdoing at the 2016 Presidential Election. You can use the GoFundMe.com website to give your donations to support this fundraiser www.GoFundMe.com/FundToProtectPresidentTrumpFromCivilLawsuits Your donations will be very appreciated by the United States Republican Leadership Committee"
167,"
$0 raised of $998.0M                    ",https://www.gofundme.com/FundToProtectPresidentTrumpFromIndictment,"Washington, DC",Fund to protect President Trump from Indictment,"Created December 30, 2018","The United States Republican Leadership Committee decides to protect the President Donald Trump from being indicted by the Special Counsel Robert Mueller's Office for his involvement in the Russia Investigations during the 2016 Presidential Elections and for accepting to pay $130,000 as a hush payment to the Porn Star Stormy Daniel. Our mission as the Republican Party's arm is to protect our Republican President Donald Trump from being indicted by the Special Counsel Robert Mueller's Office. Minimum Donation Amount per Individual Donor : $25 Maximum Donation Amount per Individual Donor : $9,700 Minimum Donation Amount per Business Donor : $800Maximum Donation Amount per Business Donor : $50,000 All donation receiving from the general public to support this fundraiser will be used to lobby the United States Department of Justice Officials to close the investigations against the President Donald Trump and against the Trump Organization for its participation in the finance of his presidential election. You can use the GoFundMe.com website to give your donations to protect President Donald Trump from being indicted by the Special Counsel Robert Mueller's Office. www.GoFundMe.com/FundToProtectPresidentTrumpFromIndictment Your donations will be very appreciated by the United States Republican Leadership Committee"
168,"
$0 raised of $996.0M                    ",https://www.gofundme.com/FundToSupportPresidentTrumpImmigrationPolicy,"Washington, DC",Fund to support President Trump Immigration Policy,"Created December 30, 2018","The United States Republican Leadership Committee decides to support the President Donald Trump Immigration Policy by requiring the ICE Agents and the Border Patrol Agents to arrest the illegal immigrants who use the caravans to come in the United States of America illegally to apply for the American Political Asylum. Minimum Donation Amount per Individual Donor : $20 Maximum Donation Amount per Individual Donor : $9,500 Minimum Donation Amount per Business Donor : $800 Maximum Donation Amount per Business Donor : $49,000 All the donations collected from GoFundMe.com to support this fundraiser to support President Trump Immigration Policy to protect the United States from the criminal activities by the illegal immigrantsYou can visit this website to make your donations to the United States Republican Leadership Committee to support President Trump Immigration Policy www.GoFundMe.com/FundToSupportPresidentTrumpImmigrationPolicy We will appreciate your generosity by donating your money to this fundraiser."
169,"
$0 raised of $800.0M                    ",https://www.gofundme.com/FundFor2020RepublicanSenatorialCandidates,"Washington, DC",Fund for 2020 Republican Senatorial Candidates,"Created December 30, 2018","The United States Republican Leadership Committee is stands up to help the Republican Senators to keep their seats at the United States Senate and to support all new Republican Candidates for United States Senate to win their elections easily. Minimum Contribution Amount per Individual Donor : $20 Maximum Contribution Amount per Individual Donor : $9,600 Minimum Contribution Amount per Business Donor : $500 Maximum Contribution Amount per Business Donor : $49,000 All the money collected for this fundraiser will be used to pay the television advertising and the radio advertising ads for the Republican Senatorial Candidates who are running for United States Senate You can visit the GoFundMe.com website to make your monetary contributions to support the Republican Senatorial Candidates for the Senatorial Elections in 2020 www.GoFundMe.com/FundFor2020RepublicanSenatorialCandidates Your monetary contributions will be very appreciated by the United States Republican Leadership Committee to support the Republican Senators and the Republican Candidates for United States Senate"
170,"
$0 raised of $950.0M                    ",https://www.gofundme.com/RepublicanFundraiserToProtectPresidentTrump,"Washington, DC",Fund to protect President Trump from Impeachment,"Created December 29, 2018","The United States Republican Leadership Committee wants to keep President Trump at the White House for 2 full terms and we are going to do everything possible to protect him from being impeached by the Democratic Senators and by the Democratic Congressmen. We need your financial support to lobby the United States Senators and the United States Congressmen to allow President Trump to stay at the White House as the President of the United States of America to serve 2 full termsMinimum Donation Amount per Individual Donor : $30 Maximum Donation Amount per Individual Donor : $9,800 Minimum Donation Amount per Business Donor : 700 Maximum Donation Amount per Business Donor : $50,000 All the money collected via GoFundMe.com for this fundraiser will be used to support President Trump from being impeached by the United States Senators and by the United States Congressmen.Please visit this website to make your donations to protect President Trump from being impeached by the United States Senators and by the United States Congressmen. www.GoFundMe.com/RepublicanFundraiserToProtectPresidentTrump Your donations will be very appreciated by the United States Republican Leadership Committee"
171,"
$0 raised of $980.0M                    ",https://www.gofundme.com/fundfor2020republicancongressionalcandidates,"Washington, DC",Fund for 2020 Republican Congressional Candidates,"Created December 29, 2018","To support the Republican Candidates for the United States House of Representatives for the 2020 Congressional Elections, the United States Republican Leadership Committee is raising the money online via GoFundMe.com to help the Republican Congressmen and the new Republican Candidates to regain the majority of the United States House of Representatives. Minimum Contribution per Individual Donor : $25 Maximum Contribution per Individual Donor : $9,700 Minimum Contribution per Business Donor : $600 Maximum Contribution per Business Donor : $48,000 All monetary contributions to support the 2020 Republican Congressional Candidates will be used to pay the television advertising and the radio advertising ads for the 2020 Republican Candidates Please go to GoFundMe.com website to support this fundraiser www.GoFundMe.com/FundFor2020RepublicanCongressionalCandidates Your monetary contributions to the United States Republican Leadership Committee will be appreciated to support the 2020 Republican Congressmen and the new Republican Candidates "
172,"
$0 raised of $995.0M                    ",https://www.gofundme.com/republicanfundraiserforpresidenttrumpreelection,"Washington, DC",Republican Fund for President Trump Re-Election,"Created December 29, 2018","The United States Republican Leadership Committee is officially organized a Fundraiser to raise money for our 2020 Presidential Candidate Donald Trump and his Vice President Mike Pence to support the Re-Election of President Donald TrumpMinimum Contribution Amount per Individual Donor : $20 Maximum Contribution Amount Individual Donor : $9,700 Minimum Contribution Amount per Business Donor : $500 Maximum Contribution Amount per Business Donor : $49,000 All monetary contributions receiving for this fundraiser to the United States Republican Leadership Committee will be used to support the re-election of our Republican President Donald Trump and our Vice President Mike Pence. You can use the GoFundMe.com website to make your monetary contributions to the United States Republican Leadership Committee www.GoFundMe.com/RepublicanFundraiserforPresidentTrumpReelection Your donations to support the Fundraiser for President Trump Re-Election will be very appreciated by the United States Republican Leadership"
173,"
$0 raised of $1.0M                    ",https://www.gofundme.com/the-republican-alternative,"Portland, OR",Write In ADRIAN MCELDERY for PRESIDENT of USA 2020,"Created December 29, 2018","The objective of being here is to raise money for a Write In political campaign.  The overall goal is to reach The White House after winning  THE ELECTION in 2020!  The help and financial support means everything  in relation to potential supporters and voters.  The United States of America will benefit from social and national advancements in terms of war and peace! Economic growth in connection to distribution of WEALTH will be priority #1.  Access to FEDERAL resources will be expanded for people in POVERTY.   The effort from everyone online will be  needed to promote and encourage others to vote.  Thank YOU to anyone considering taking action, and  become involved with The Underground Railroad Movement.Adrian DeRay McEldery 41 years old  REPUBLICAN male  WRITE = IN : ADRIAN MCELDERY (R)2020 for PRESIDENTThe Republican Alternative..."
174,"
$0 raised of $1,000                    ",https://www.gofundme.com/6mwr1ug,"Laingsburg, MI",brokebitch,,
175,"
$0 raised of $325,000                    ",https://www.gofundme.com/6lz3cg0,"Shelton, WA",WASHINGTON REPUBLICANS,,
176,"
$0 raised of $15,000                    ",https://www.gofundme.com/black-17-year-old-republican-kicked-out-of-home,"Lewiston, ID",Black 17 year old Republican kicked out of home,"Created December 22, 2018",I need help from my Republican people. I voiced my opinion and belief in Donald Trump's in my African American household and I was kicked out! This is not fair to me and I need some money to get myself on my feet after my gamfam has turned on me. Please help a republican in need. Thank you
177,"
$0 raised of $20,000                    ",https://www.gofundme.com/i-came-out-as-republican,"New Bern, NC",I came out as republican,"Created December 22, 2018","Hello everyone, I hope you are all having a blessed day. My name is Melanie and recently have been struggling. I guess it all began in 2014 when I married my amazing husband Johnathan while attending a university. My parents disapproved of John for a lot of reasons, but mostly because they don't have the same values as him. A few years later I became pregnant with my baby pictured above, Elizabeth.  This upset my parents but they still let me stay until I graduated. They made it clear that they were cutting me off after graduation. The final straw was when I came out to my parents as being republican, and a Trump supporter. As black democrats they were unaccepting and kicked me out. They have stopped answering my calls, and have made it clear they want nothing to do with me, Elizabeth, and I or Johnathan. I now currently have student loans piling up, my husband is out of a job, we live with his aunt, and we can barely provide for sweet Elizabeth. Being republican is hard enough, but now that me and Johnathan can barely provide for ourselves and our baby, things have become so much harder. We would have never thought our beliefs would have led us to be struggling with little to no help. Please, if you can help. Anything helps. All I want is to provide for my daughter so that she may have a better and happy life she deserves. God Bless you all."
178,"
$0 raised of $3.0M                    ",https://www.gofundme.com/republicans-for-the-wall,"Hazelwood, MO",Republicans For The Wall,"Created December 22, 2018",We stand by our President and we the people have decided to help raise money for the wall we want. Every amount helps big or small. We will build this wall and help others in our cause.
179,"
$0 raised of $10,000                    ",https://www.gofundme.com/kicked-out-for-being-republican,"Lawrenceville, GA",Kicked Out For Being Gay,"Created December 22, 2018","I recently came out to my religious mom as lesbian and she forced me to leave her home. As for right now I'm staying with a friend but I really need a car so that I can get a job and start making money for my own. I'm 16 right now so I'm still in high school, any money would be greatly appreciated."
180,"
$0 raised of $10.0M                    ",https://www.gofundme.com/beat-the-republicans,"Tulare, CA",Beat The Republicans,"Created December 21, 2018","If people can raise well over 1,000,000 for an imaginary wall, we can raise money for a broke boy like myself. Let’s do it!"
181,"
$0 raised of $10,000                    ",https://www.gofundme.com/help-a-republican-out,"Gainesville, GA",Help a republican out,"Created December 21, 2018","hi, im 17 years old and got kicked out of my house for my beliefs and support for trump. I would like to raise this money to finish school and potentially get a house."
182,"
$0 raised of $20,000                    ",https://www.gofundme.com/republican-muslim-american, ,Republican Muslim American,"Created December 21, 2018","I’m an international student from Azerbaijan who wants to pursue a career in politics fighting for the Right. Since being in America, I’ve found that I love the values that Republicans hold. My family does not want to financially support me anymore because they think American politics are evil, and only want to fund my schooling if I am to study biology. I’ve also began to attend Christian church and am considering leaving my Muslim faith behind. I want to be a Christian, Republican woman who can make a difference in American politics but I cannot afford to do this on my own. I need the help of my Republican Christian friends so that I can keep going to university. Please share my story if you are unable to make a donation. All help is appreciated. God bless us all!"
183,"
$0 raised of $20,000                    ",https://www.gofundme.com/if-you-want-me-to-become-a-republican,"Suitland, MD",If you want me to become a Republican,"Created December 21, 2018",I hate the Democratic party I want to become a Republican
184,"
$0 raised of $10.0M                    ",https://www.gofundme.com/hi-republicans,"Québec, QC",Hi republicans,"Created December 21, 2018",Reaching out rich republicans willing to help other republicans in need ;)
185,"
£0 raised of £10,000                    ",https://www.gofundme.com/help-a-republican-student-finish-studying, ,Help a republican student finish studying!,"Created December 20, 2018","Hey everyone. I wish we could live in a world where we are free to support whoever we want and have our own opinions, however unfortunately that's not the case. I'm a student in the UK studying politics with the hopes of moving to the US once I graduate. I've recently shared my political views with my parents; I support Trump and I think that his plans for the US are amazing; people ought to trust him more. They, as well as my friends, however do not share the same values as me and have subsequently cut me off. I'm struggling to afford supporting myself this academic year and I would really appreciate any support that anyone is willing to give. It would honestly mean so much to me knowing that my fellow republicans, albeit overseas, can show love an support to one of their own. Thank you so much for even taking the time to read this and God bless."
186,"
$0 raised of $10,000                    ",https://www.gofundme.com/hispanic-republicans-for-america,"El Paso, TX",Hispanic Republicans for America,,
187,"
$0 raised of $60,000                    ",https://www.gofundme.com/black-republicans-for-the-wall,"Indianapolis, IN",I just need a new car,"Created December 20, 2018",My car is a piece of garbage breaks down every day makes me late to work constantly. Truly it needs to go. I've done the math I can afford a new cars insurance I just can't afford the car ... help me out here ‍♂️
188,"
$0 raised of $1.0M                    ",https://www.gofundme.com/prd85-help-build-the-wall,"Bear, DE",Help build the wall,"Created December 20, 2018",Helping the country build a wall to protect us and keep us safe! MAGA!
189,"
$0 raised of $20,000                    ",https://www.gofundme.com/urban-minority-republican-league,"Newark, NJ",Urban Minority Republican League,,
190,"
£0 raised of £1,000                    ",https://www.gofundme.com/national-republican-party-fundraiser,Greater London,National Republican Party Fundraiser,"Created December 4, 2018","In order to stand for a seat at the next UK general election, we need to pay £200 to the UK electoral commission per seat.At this moment in time, we intend to stand 5 candidates for the election. Simple maths states that we need £1000!We also need money for advertising and promotion on Facebook and other platforms. Just £2 could find thousands of Facebook adverts!If you want to see the tyrannical monarchy toppled from the power, as well as the corrupt current top political parties of the Conservatives and Labour, please donate just £2! (Or of course, more!)£10 will earn you and honourable mention on our Facebook page£25 will earn you a National Republican Party T-Shirt£50 will earn you an invite to the party conference next year£100 will get you lifelong party membership!"
191,"
$0 raised of $20,000                    ",https://www.gofundme.com/fired-for-being-black-republican,"Jacksonville, FL",Fired for being  black republican,"Created November 25, 2018","Hello everyone. I was recently fired from US bank by my supervisor due to my political beliefs. I spoke about being a young African American republican who’s a Trump supporter. It enraged my boss and he told me to leave immediately before security would escort me out. I refused to leave just because of my beliefs, and security then forced me to leave. I’ve been told there’s a chance I could get my job back if I’m  able to build a case against the man who fired me, but in the mean time, I urgently need your help. I was living check to check before I was fired, and now surviving is very hard as I have a 3 month old son. I also have to pay $15,000 back in tuition reimbursement to the company for my associates degree. And I’m currently shooting for my bachelors degree. Kindly show me some support in this very hard time of mine."
192,"
$0 raised of $7,000                    ",https://www.gofundme.com/help-a-young-republican-black-man-go-to-school,"King Of Prussia, PA",Help a Young Republican Black Man Go to School,,
193,"
$0 raised of $500                    ",https://www.gofundme.com/6vey7-guns,"Orangevale, CA",Democrat vs Republican,"Created November 20, 2018","I am on a mission to find out if I am a republican or a democrat. Can you help me decide? I may be a republican because I like guns and trucks. I may be a democrat because I think Trump is a tool, and I think helping less fortunate people is important. So if you think I am democrat donate $6 if you think I am republican donate $5. In true democratic fashion we will let the people decide."
194,"
$0 raised of $5,000                    ",https://www.gofundme.com/6f5qnrk,"Universal City, TX",Kicked out for becoming a Republican,,
195,"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-family,"Atlanta, GA",Republican  family,,
196,"
$0 raised of $100,000                    ",https://www.gofundme.com/vote-ca-republican,"Pomona, CA",Vote CA Republican,,
197,"
$0 raised of $1,000                    ",https://www.gofundme.com/republicans-with-no-ride,"Jacksonville, NC",Republicans with no ride,,
198,"
$0 raised of $1.0M                    ",https://www.gofundme.com/stop-the-rhino-republicans,"Houston, TX",Defeating Trump,,
199,"
$0 raised of $7,000                    ",https://www.gofundme.com/support-republicans-in-hidalgo-county,"Alamo, TX",Support Our President,,
200,"
$0 raised of $100,000                    ",https://www.gofundme.com/America-Republican,"Palm Beach, FL",#American #Republican #Twitter,,
201,"
$0 raised of $5.0M                    ",https://www.gofundme.com/a-year-that-just-wont-stop,"Westerville, OH",Republican told me to leave,,
202,"
$0 raised of $350,000                    ",https://www.gofundme.com/keep-laura-on-air,"New York, NY",Keep Laura on Air!,,
203,"
$0 raised of $3,000                    ",https://www.gofundme.com/shs-tars-growth-fund,"Sanger, TX",SHS TARs Growth Fund,,
204,"
$0 raised of $900,000                    ",https://www.gofundme.com/republican-hip-hop-music,"Spotsylvania, VA",Republican Hip Hop Music,,
205,"
$0 raised of $50,000                    ",https://www.gofundme.com/republican-app-for-news,"Sanford, NC",Republican  News App,,
206,"
$0 raised of $50.0M                    ",https://www.gofundme.com/stop-tom-steyer,"Redondo Beach, CA",Stop Tom Steyer,"Created January 12, 2019","Want to join me in making a difference? I'm raising money for Republicans United for Texas, and any donation will help make impact. Thanks in advance for your contribution to this cause that means so much to me."
207,"
$0 raised of $1,200                    ",https://www.gofundme.com/paypalmepoolsc8769ymkinh,"Bronx, NY",paypal.me/pools/c/8769YmKinH,,
208,"
$5,750 raised of $20,000                    ",https://www.gofundme.com/wqwmjwuk,"Leesburg, VA",Chance's Medical & Funeral Expenses,"Created March 30, 2016","Chance was a lovely boy who could make anyone smile.   He fought the hard battle of Congenital Heart Disease.   It is with profound sadness that this sweet boy has passed away while being held by his faithful and loving mother.Please, let's help this family cover the costs of the remaining medical bills and funeral expenses so they can focus on more important matters."
209,"
$200 raised of $400                    ",https://www.gofundme.com/wp4r6m-help-us-bridge-the-gap,"Thompsonville, IL",Help Us Bridge the Gap,"Created September 2, 2019","In January of 2019, David lost his job. Later that month, his father fell ill and subsequently passed away. We spent a week in Lexington to be with the family. David diligently looked for work, filling out well over 100 applications. We were blessed that he was able to draw unemployment. During the past months, our electric has gone up and our mortgage payments almost doubled,  We also had to find health insurance for David and prescription drug coverage for me.  I've had an ongoing health issue that has put me in the emergency room three times, and hospitalized me for 3 days. The issue hasn't been resolved, and will require travel to doctor appointments and possibly surgery. Last Wednesday morning, we discovered that David's unemployment had run out, leaving us with only my small social security payment. Thankfully, later that same day, David received word that he had gotten a job! Full time, good benefits, decent pay. He goes in on September 4 to do paperwork, but we don't have a definite start date. If my calculations are correct, he won't get a check until the week of the 23rd. We simply do not have enough money to make it that far. Between him driving to Salem (about an hour one way) and back and my doctor appointments, gas alone will use up what we have. That doesn't include groceries and phone bills, electric, and all the other bills that come along with life. In addition, Stetson's birthday is this month, and we would like to be able to do something for him.David and I have lots of friends on Facebook. I'm praying that you'll find it in your heart to help us if you can. I know it's a lot to ask, and even if ypu can't help financially, we covet your prayers. We trust that God will provide, but we feel we need to do our part as well. Thank you!"
210,"
$228,632 raised of $300,000                    ",https://www.gofundme.com/support-anonymous-intelligence-official,"Washington, DC",Help the Intel Community Whistleblowers,"Created September 25, 2019","A U.S. intelligence officer who filed an urgent report of government misconduct needs your help.This brave individual took an oath to protect and defend our Constitution.We’re working with the whistleblower and launched a crowdfunding effort to support the whistleblower’s lawyers.On October 6, 2019, it was announced that these lawyers represent a second anonymous intelligence community whistleblower who has made a protected disclosure involving first-hand knowledge of events described by the initial whistleblower. In a September 17, 2019, letter to the House Intelligence Committee, U.S. Intelligence Community Inspector General Michael Atkinson described the initial whistleblower’s complaint as “credible” and “urgent.”The disclosure relates to “one of the most significant and important of the [Director of National Intelligence]’s responsibilities to the American people,” he wrote.These brave public servants could face retaliation and need your support.Donations will only be accepted from U.S. citizens.All funds that remain after the conclusion of this matter will be returned to Whistleblower Aid’s budget to help other brave Americans make lawful disclosures about government wrongdoing.These whistleblowers took great personal risks, not for politics or personal gain, but to defend our democracy. We need to have their backs. Let’s be clear--what’s happening is outrageous. The law is clear--whistleblowers must be permitted to speak to Members of Congress anonymously. Lawful disclosures are a basic element of oversight and republican governance.The whistleblowers’ legal counsel--Andrew Bakaj and Mark Zaid of Compass Rose Legal Group--are core members of Whistleblower Aid’s team. They have helped to build this organization from scratch. It’s important that people know a bit about them. Andrew Bakaj is Of Counsel to Whistleblower Aid. He’s modest--but actually amazing. While Andrew himself was in government, he literally wrote the CIA and Pentagon rules prohibiting retaliation against whistleblowers. Then, after cooperating with an official investigation into CIA misconduct, he was subject to illegal reprisals and forced out of his job--in violation of the rules that he had written himself! Whistleblower Aid recently won a great victory in Andrew’s case; you can read about it here. Mark Zaid is Whistleblower Aid’s Founding Legal Partner. For more than 25 years, Mark has represented federal workers in cases involving classified information, including whistleblowing, criminal prosecutions, and security clearance disputes. The National Law Journal once wrote, “If Agent Mulder ever needed a lawyer, Zaid would be his man.” We are so proud of Andrew and Mark. We can’t imagine a better team to protect these whistleblowers and bring their disclosures to light.If we raise more than we need, Whistleblower Aid will use the money to help more brave whistleblowers stand up to executive overreach.With determination,John TyeFounder & CEOWhistleblower Aid Andrew P. Bakaj, Esq.Lead Attorney for the Intelligence Community WhistleblowersCompass Rose Legal Group, PLLCMark S. Zaid, Esq.Attorney for the Intelligence Community WhistleblowersCompass Rose Legal Group, PLLC"
