,funds,link,location,summary,title
195,"
$8,118 raised of $10,000                    ",https://www.gofundme.com/WashingtonBabylon,"Washington, DC","“Noise is relative to the silence preceding it. The more absolute the hush, the more shocking the thunderclap. Our masters have not heard the people’s voice for generations, Evey, and it is much, much louder than they care to remember."" — from V for Vendetta  Like me, you’re watching the most sto...",WashingtonBabylon.com
196,"
$4,861 raised of $1.0B                    ",https://www.gofundme.com/save-ct-from-the-government,"Milford, CT","If you hate this face then you live in Connecticut. If you live in Connecticut, then you already know: The Governor has really screwed this place up. The one thing that brings Republicans, Democrats and Independents together is their belief: This Governor has got to go!   We have decided to start...",Gov's Gotta Go!
197,"
€828 raised of €1,500                    ",https://www.gofundme.com/da-global-meeting-costs, ,Thanks for stopping by. It has been a honor to serve as Chair for Democrats Abroad Netherlands these last 2 years. I'm looking forward to taking us through to the 2020 primary and helping to take back the White House! DA has our Annual General Meeting in DC in just a few weeks time. I love volunt...,DA  Global Meeting Costs
198,"
$3,000 raised of $3,000                    ",https://www.gofundme.com/27wv22c,"Gilbert, AZ","We are about $500 dollars short of our goal ! Thank you all.     With just a few days to go before the DNC in Philly I am asking my Bernie friends, my political comrades to help me cover the expenses to get to the convention.  The ""establishment"" wants us to feel the pain and the cost of bringing...",Take the Revolution to the DNC
199,"
$8,101 raised of $10,000                    ",https://www.gofundme.com/apa6defense,"Philadelphia, PA","Accountability PA is an all-volunteer feminist collective committed to holding elected and party officials accountable for sexual misconduct and violence.  We came together in 2018 to demand State Senator Daylin Leach's resignation after a number of survivors and witnesses went public, alleging a...",Accountability PA Legal Defense Fund
200,"
$23,737 raised of $6,000                    ",https://www.gofundme.com/tqk68e24,"Ann Arbor, MI","WASHTENAW COUNTY – A coalition of community partners is hosting a countywide bottled water drive for Flint residents. The Washtenaw Water Drive Coalition is comprised of:  Ann Arbor Democrats, Ann Arbor Mayor Chris Taylor, Ann Arbor Public Schools, City of Milan, City of Ypsilanti, Dexter Communi...",Washtenaw Water Drive for Flint
201,"
$43,964 raised of $48,000                    ",https://www.gofundme.com/Steve-Morris,"Windsor, CA","Thank you for taking a look at our story.  The picture above is of my husband, Steve, and our daughter, Ellie, when she was about one year old.  Steve was in his element, thoroughly enjoying hiking in the beautiful Sierras and spending time with his family.  He was hiking with our church's yearly...",Steve Morris - Trinity Alps Search
202,"
$1,770 raised of $2,500                    ",https://www.gofundme.com/getkainoatoydadal,"Honolulu, HI","Aloha Everyone,  Please help send my dear friend, Kainoa, to the 2017 Young Democrats of America National Convention in Dallas, Texas.  As some of you may know, Kainoa is dedicated to making Hawaiʻi a better place for all of us and our keiki and our kūpuna. As such, she is running to be Vice Pres...",Send Kainoa to the #YDADAL
203,"
$15,828 raised of $15,000                    ",https://www.gofundme.com/altWhiteHouseEasteregg,"Sykesville, MD","Thank you for your interest in this campaign.  I'm sorry we do not have any eggs left!  We met our fundraising goal for 2018 and distributed 1,000 gift eggs.  If you would like to donate today, I will add your donation to the money I will be sending to PBS and NPR.  The campaign closes on April 1...",Alt White House Easter Egg 2018
204,"
$2,520 raised of $3,000                    ",https://www.gofundme.com/dk9rf3-postcard-project,"Tampa, FL","We're seeking donations to pay for postage for roughly 7,500 postcards, a P.O. Box, and a sticker that we need to put on each postcard as a disclaimer to abide by campaign finance laws. The postcards were donated to us. In October, the postcards will be mailed to Democrats in Florida House Distri...",Postcards for Hillsborough Progress
205,"
$8,234 raised of $15,000                    ",https://www.gofundme.com/woc-art,"Rochester, NY","THE HEART:    WOC Art Collaborative is a multi-generational collective of Black women & women of color creators in Rochester NY committed to bringing the power of their individual accomplishments, visions, and social justice practices to create an institution rooted in intersectional equity for w...",Help build the WOC Art Collaborative
206,"
$345 raised of $1,000                    ",https://www.gofundme.com/domestic-violence-shelter-fundraising-event,"Athens, OH",The Ohio University College Democrats are organizing a philanthropy event to give back to the wonderful Athens community. We are giving all of the money to a domestic violence shelter in Athens where many seek refuge. Your donations will help families in need.  Please help us help others. Thank y...,Domestic Violence Shelter Fundraising Event
207,"
$55,010 raised of $50,000                    ",https://www.gofundme.com/theotherside,"Venice, CA","About Joe   Joe McGovern is a former teacher, vice principal, social worker, pro soccer player, and wilderness therapy guide who now makes his living acting and teaching in Los Angeles. You may have seen him on TV recently on ABC's Scandal and Grey's Anatomy and on the stage as Henry in the award...",The Other Side Documentary
208,"
$3,911 raised of $4,000                    ",https://www.gofundme.com/def-con-26-election-security,"Brooklyn, NY","ELECTION SECURITY NEEDS YOUR SUPPORT!  Hello! I'm Lulu Friesdat. I'm an Emmy award-winning journalist and documentary filmmaker  focusing on election security.  I have worked extensively with all of the major news networks, and my work has also appeared on HBO. My election security investigations...",DEF CON 26 - Election Security
209,"
$315 raised of $350                    ",https://www.gofundme.com/ucsd-dems-operation-santa,"La Jolla, CA","Hello friends and family! This year, the College Democrats at UC San Diego will be hosting a family of 6 for the Holidays this year through Operation Santa. Please consider donating as much as you can to help us make their holiday wishes a reality!",UCSD Dems: Operation Santa!
210,"
$13,785 raised of $15,000                    ",https://www.gofundme.com/alt-white-house-easter-egg-2019,"Sykesville, MD",“Protect Our Children's Future” 2019 egg is an alternative answer to the souvenir White House Easter Egg distributed at the annual Easter Egg Roll on Easter Monday. For the third year we’ve created a limited-edition wooden egg  to raise money for the vital programs that fight against the current...,Alt White House Easter Egg 2019
211,"
$360 raised of $2,500                    ",https://www.gofundme.com/a-chance-to-study-abroad-in-japan,"Aiken, SC",Hello My Name is Chastity Abney. I am a rising senior at The University of South Carolina Aiken. My major is Political Science with a concentration in Pre-law and a minor in Criminal Justice. I am currently serving as a member of the College Democrats Club and Pacer Fanatics. I have also served a...,A Chance to Study Abroad in Japan
212,"
$4,137 raised of $4,300                    ",https://www.gofundme.com/morgantown-now-no-to-amendment-1,"Morgantown, WV","The latest battleground for women's reproductive rights is West Virginia, where an anti-abortion constitutional amendment will be voted on in November. Morgantown NOW is actively fighting this fundamentalist attack on women's reproductive rights but our opponents are out in force. We urgently nee...",Morgantown NOW: NO to Amendment 1
213,"
£560 raised of £5,000                    ",https://www.gofundme.com/running-for-mp-for-perthshire-scotland,"Guildtown, Scotland, United Kingdom","I’m fed up of the career politicians in Westminster. They think they are above the law, & make false claims on their expenses. The current MP for Perth has spent nearly £180,000 in the last financial year. This is an astonishing amount of tax payers money.  I will run for MP of Perth & Perth Nort...","Running for MP for Perthshire, Scotland"
214,"
£9,440 raised of £10,000                    ",https://www.gofundme.com/justice-for-bumi,"Beckenham, Greater London, United Kingdom","JUSTICE For BUMI  Bumi Thomas was born in Glasgow and is a hardworking Multidisciplinary Artist Based in London, who has enriched the British Art, Music and Culture Landscape with her talent. She identifies as British, and over the last 18 years has built a life here, with friends, family, work a...",Justice for Bumi
215,"
$1,668 raised of $2,000                    ",https://www.gofundme.com/send-michael-trimm-to-walkaway,"Manchester, NH","In early 2016, I was swept off my feet by Bernie Sander's POLITICAL REVOLUTION that included lowering the cost of prescription drug costs, renegotiating our disastrous trade deals (like NAFTA, TPP, etc.), and putting the working people in America First! When the Democrat Party cheated Bernie Sand...",Send Michael Trimm To #WalkAway
216,"
$13,761 raised of $75,000                    ",https://www.gofundme.com/caputo-family-legal-fund,"East Aurora, NY","I'm Christine Hernandez and I live in Buffalo, New York. I've started this GoFundMe to help my cousin Michael Caputo and his family. The Democrats in the House of Representatives have him in their crosshairs again about this bogus Russia investigation. This time, he's had enough. He just announce...",Caputo Family Legal Fund
217,"
$2,520 raised of $3,000                    ",https://www.gofundme.com/block-bronx-bolshevik,"Bronx, NY","There’s a quiet rebellion against socialism in NY-CD14, which Alexandria Ocasio Cortez (#BronxBolshevik) is running to represent.   Block Bronx Bolshevik is a grassroots campaign to raise awareness that Joseph Crowley remains on the ballot on the Working Families Party line, and to encourage Demo...",Block Bronx Bolshevik
218,"
$3,060 raised of $5,000                    ",https://www.gofundme.com/EEGSupportsDisasterRelief,"San Rafael, CA","EEG is honoring World Food Day on October 16, 2017 by giving back where food is needed the most. EEG will contribute the first $1000, in our goal to raise $5000. Any contributions that you can provide are greatly appreciated and no amount is too small. All funds that we receive by Friday, October...",EEG Supports Disaster Relief
219,"
$2,300 raised of $3,000                    ",https://www.gofundme.com/help-the-ohio-u-dems-go-to-dc,"Athens, OH","In January the Ohio University College Democrats will be taking a trip to Washington, D.C. The price of fuel and sleeping arrangements is not cheap so we would be grateful for your support!",Help the Ohio U Dems Go to DC!
220,"
$260 raised of $300                    ",https://www.gofundme.com/volunteer-travel-fund,"Orange, CA","Hey Everyone!  I'm hitting the campaign trail with the CA Assembly Democrats as a volunteer for a number of competitive district races in Southern California.   My goal is to help inform local communities about the upcoming election, increase voter participation, and get quality leaders and commu...",Campaign Volunteer Travel Fund
221,"
$1,025 raised of $2,000                    ",https://www.gofundme.com/help-young-dems-attend-cydcdp,"San Diego, CA","Hi, Codi Vierra here! As the South State Regional Director for the California Young Democrats, it's my job to make sure that our local chapters are represented at the California Young Democrats meetings, the next of which is taking place in Oakland, July 13-15 in conjunction with the California D...",Help SD Young Dems attend CYD/CDP!
222,"
$3,001 raised of $3,500                    ",https://www.gofundme.com/RickHauptman,"San Francisco, CA","Hello, Friend!  My name is Rick Hauptman and on May 1, 2016 I was elected as a Delegate for Hillary Clinton from California's 12th Congressional District (San Francisco) to the Democratic National Convention in Philadelphia.  I am a lifelong Democrat and a passionate Hillary supporter. I am a San...",Delegate Trip to Philly Convention
223,"
$14,290 raised of $30,000                    ",https://www.gofundme.com/keepmadisonscafeopen,"South Berwick, ME","We were shocked and saddened as a community today to see the following post from Nicole McCoomb, Owner of Madison's Cafe:  ""This is a very hard post form to have to write. Sean and I have put our complete hearts and souls into our cafe for many, many reasons. Unfortunately, the time has come for...",Keep Madison's Cafe Open
224,"
$2,230 raised of $3,900                    ",https://www.gofundme.com/ErikJill2016,"Chico, CA",UPDATE! #FreeRedFawn #DefundDAPL #BankExit www.FreeRedFawn.com www.DefundDAPL.org I spent several weeks @Standing Rock. I witnessed every moment on Backwater Bridge November 20th and had my megaphone with me to try and talk the police down from giving 167 people hypothermia with water cannons and...,Jill2016 Volunteer Coordinator CA
225,"
$805 raised of $3,500                    ",https://www.gofundme.com/over-the-border-under-the-bridge,"Glenshaw, PA","Our countries current situation, involving the southern border deserves more attention.  The issues of child separation, the building of a border wall and human rights have affected the political mind set and moral conscience of our country.  We believe that by capturing and    documenting the ev...","Over the Border, Under the Bridge"
226,"
$1,187 raised of $100,000                    ",https://www.gofundme.com/fight-facebook-censorship,"Atlanta, GA","On Thursday, October 11, 2018, Facebook unpublished over 800 accounts and pages (mostly conservative) under the guise of protecting the midterm elections in November. Oddly enough Twitter also banned accounts on their platform for the same publishers at the same time. Isn’t it interesting that th...",Fight Facebook Censorship
227,"
$3,640 raised of $15,000                    ",https://www.gofundme.com/ashproject,"Santa Rosa, CA","Since November, people who have lost everything in the October wildfires have been dropping off containers of ash from their homes in plastic bags, mason jars and Tupperware containers on my front porch.  The Sonoma Ash Project is seeking funds for the creation of over 150 individually handmade c...",The Sonoma Ash Project
228,"
$5,993 raised of $8,000                    ",https://www.gofundme.com/YouthClimateBailFund,"New York, NY","UPDATE: We've raised enough to cover everyone's bail! Everyone is so grateful for the outpouring of support. Thank you so much. We have increased the goal and all remaining donations will go to supporting these young people's work in the fight against the climate crisis.   On Tuesday, November 13...",Youth Climate Activists' Bail Fund
229,"
$1,285 raised of $15,000                    ",https://www.gofundme.com/97mkjwfr,"Shinnston, WV","Who is Derek McIntyre ? Well, for starters in brief, I am a life long resident of Harrison County. As a child, I grew up in Enterprise Community with strong family ties. I have two younger brothers, Trevor,a middle school teacher, with Mon County Schools, and Devon, who specializes in IT manageme...",Committee to Elect McIntyre HOD
230,"
$500 raised of $500                    ",https://www.gofundme.com/joliviadc,"Des Moines, IA","We marched, we knocked doors, we organized, we voted, and now Iowa has two progressive women representing us in the US House! After a long campaign season, Olivia and I are fundraising for the chance to go to DC to see Abby Finkenauer and Cindy Axne make history as the first women to be sworn in...",Send Josh & Olivia to DC!
231,"
$3,046 raised of $10,000                    ",https://www.gofundme.com/a-grassroots-superpac,"South Burlington, VT","My name is Dan Barkhuff and I'm the President of Veterans For Responsible Leadership, an Emergency Room doctor, and a former combat veteran. We started as a Facebook group for veterans of all services and all party affiliations frustrated by the election of Donald Trump and the implications for o...",A Grassroots SuperPAC
232,"
$310 raised of $100,000                    ",https://www.gofundme.com/resistance-media-legal-fees,"Falls Church, VA","[UPDATE] You won't believe what's going on in Mike's Las Vegas trial. Police and prosecutors have ""lost"" four videos related to his arrest for disturbing the peace and ""assaulting"" a GOP campaign staffer. The security camera videos from the Community Center? Gone. Two separate police body camera...",Mike Stark's Resistance Media Legal Costs
233,"
$675 raised of $4,000                    ",https://www.gofundme.com/LGBTrump45,"Rochester, NY","￼￼￼￼ Hey guys!   We we do not receive millions from the Government, George Soros, or Silicon Valley. We are supported by YOU, THE PEOPLE.  Us here at 'LGBTrump - Gays For Trump' want to expand and grow even BIGGER! Facebook has heavily censored our Facebook Page and has refused to allow us to mak...","Official Website, Trademark™️, & Future Events!"
234,"
$2,835 raised of $4,000                    ",https://www.gofundme.com/not-one-more-generation,"Powhatan, VA","Equal means equal and the Constitution, as interpreted by the Supreme Court, is the ultimate guarantor of equality in the United States. Unfortunately, even today in our very modern society, gender equality is protected only for women's voting rights, as specified in the Nineteenth Amendment. Our...",Not One More GenERAtion
235,"
$1,085 raised of $1,050                    ",https://www.gofundme.com/help-claire-attend-hsda-summit,"Charlotte, NC","Hi everyone! My name is Claire Tandoh. I am a 16 year old junior at Providence High School in Charlotte, N.C. The summer of my freshman year in high school, I became more politically active within my community. I have always been interested in politics, but that year I realized I actually needed...",Help Claire attend HSDA Summit
236,"
$8,243 raised of $45,000                    ",https://www.gofundme.com/house-candidate-fired-for-running,"Baton Rouge, LA","Justin DeWitt has been in land surveying for over 10 years and this year decided to run for Congress from Louisiana as a Democrat. He took a few days of approved leave around the election and the day he returned to work he was fired. If this was politically motivated, as it appears to be, we expe...",House Candidate Fired for Running
237,"
$378 raised of $500                    ",https://www.gofundme.com/6bn7m-thanksgiving-food-drive,"Beverly Hills, CA","For the 36th year in a row, The E.J. Jackson Foundation will be holding their Turkey Giveaway in South LA.   I talked to people in the line last year, and so many told me this event is the only way they're able to provide a Thanksgiving dinner for their families.   http://www.foxla.com/news/local...",Thanksgiving Food Drive
238,"
$3,280 raised of $2,500                    ",https://www.gofundme.com/send-hussam-to-ca-dem-party-conv,"Corona, CA","Assalaamu Alaykum/greetings of peace,  In January of 2017, I was re-elected by Democrats in my 60th Assembly District as a delegate to the CA Democratic Party (CDP).  I also had the pleasure to work with and help close to 20 other CA Muslims get elected as new delegates.  It is a great honor to t...",Send Hussam to CA Dem. Party Conv.
239,"
$2,165 raised of $3,000                    ",https://www.gofundme.com/get-kelly-to-venice,"Mobile, AL","Kelly made his ultimate destination of Venice, LA in June 2019. He has decided to continue his journey along the Mississippi and is on his way to Gulfport, MS. Thanks to everyone's generosity, Kelly was able to make some fixes to his boat. He has been battling some rough weather, but is not deter...",Get Kelly down the Mississippi
240,"
$2,050 raised of $2,050                    ",https://www.gofundme.com/dreamers-to-dc,"Saint Paul, MN","Hi, I am Sonia and as you may know, I am a DACA Recipitant. As of October 5th DACA was rescinded so that puts all of DACA beneficiaries at risk of deportations if nothing gets done by March 5th of this year.   Our organization, MN  Dreamers for A Bipartisan Solution believes that a comprehensive...",Dreamers to D.C.
241,"
€884 raised of €1,500                    ",https://www.gofundme.com/evie-nevin-campaign,"Clonakilty, Co.Cork","I am standing in the 2019 local elections as the Social Democrats' candidate for the Clonakilty-Skibbereen area.  I believe the people of Ireland want real change and to do this, change must start at a local level.  As your local representative I will fight vigorously for: Housing Accessibility f...",Evie Nevin Campaign
242,"
$2,710 raised of $25,000                    ",https://www.gofundme.com/tay-anderson-college-fund,"Denver, CO","Welcome!  I am a Senior at Manual High School preparing to graduate on May 27th, 2017. Here is some of what I currently do inside and outside of school. I am the Student Body President of Manual HS, Chairman of Colorado High School Democrats, Co-Founder of Champions for Denver, Chief Operations O...",College Fund
243,"
$21,052 raised of $24,000                    ",https://www.gofundme.com/ctrl-music-video,"Los Angeles, CA","Hi everyone!  In response to recent, outrageous political events and to continue to build a movement fueled by the Kavanaugh confirmation, we would love to release a music video that expresses both the frustration and empowerment of women today.    The song is called 'Control' (CTRL) by musical a...",CTRL Music Video
244,"
$3,803 raised of $5,000                    ",https://www.gofundme.com/22cfe64,"Shreveport, LA",My name is Ryan Trundle and I am the only Delegate in Congressional District 4 of Louisiana for Bernie Sanders. I was elected to be the voice of this Congressional District at the National Democratic Convention by the people of 15 parishes because of my dedication to the Bernie Sanders campaign....,Bernie or Bust! Delegate needs help
245,"
$1,521 raised of $1.0M                    ",https://www.gofundme.com/takedownbreitbartnews,"Mobile, AL",By now everyone in the country has heard about the right-wing fake news outlet Breitbart News. It was owned and operated by  white nationalist neo-Nazi Steve Bannon and partners until conservative tech-billionaire Robert Mercer had him fired at the behest of President Donald Trump after he failed...,Combat 'Fake' News with 'Real' News
246,"
$10,340 raised of $15,000                    ",https://www.gofundme.com/cherechaney,"Lees Summit, MO","Updated September 12th, 2016: Our amazing friend, Chere Chaney, passed away September 12th after a hard fought battle with bone and lung cancer. We will miss her so much. Chere was a working woman and did not come from a privileged background. We are continuing to fundraise to help her family wit...",Chere Chaney Medical Fund
247,"
$4,000 raised of $4,500                    ",https://www.gofundme.com/GreenDemDel-Bernie,"Eugene, OR","Feb 2017 update: I have one leftover debt of $500 fro the incredible convention expenses to pay back. I appreciate this one last push. The resistance continues and we are just getting started!  PLEASE READ THE UPDATE* BELOW FIRST! I'm Don St.Clair, and I have been elected to the Democratic Nation...",GreenDemBernieDelegateDebtRetiremnt
248,"
$4,435 raised of $5,000                    ",https://www.gofundme.com/d4ztz6ks,"Rock Island, IL","My name is Dylan Parker. I am a 27-year-old diesel mechanic and elected delegate pledged to Bernie Sanders for the 2016 Democratic National Convention from Illinois' 17th Congressional District. As a full-time worker, husband and father of two children, I know the fiscal difficulties facing many...",Dylan Parker IL Delegate to the DNC
249,"
$2,750 raised of $2,800                    ",https://www.gofundme.com/marcperez4tedcruz,"Puyallup, WA","My name is Marc Perez and I have been elected to be one of three Delegates to go to the Republican National Convention during the week of July 17th - 22nd, representing the 10th Congressional District of WA State. I have been a most active part of the original State Leadership Team at the campaig...",RNC Convention 4 Cruz by Marc Perez
250,"
$1,637 raised of $2,000                    ",https://www.gofundme.com/Kathleen4NewMexico,"Albuquerque, NM","In honor of the famous 2016 uprising of Progressive Democrats across the United States of America, I have entered the race to become Vice Chair of the Democratic Party of New Mexico, 2017.  I was a Bernie Delegate at the Democratic National Convention in Philadelphia in the summer of 2016 and hav...",Kathleen for NM Dems Vice Chair
251,"
$3,672 raised of $40,000                    ",https://www.gofundme.com/GypsyShack,"Jamestown, CA","I opened an all age music venue in my small rural hometown, welcoming entertainment & culture, to the community that would otherwise not have a place to express their themselves creatively.       I have been in operation for 3 consecutive years, updating equipment and music instruments as I could...",Save your local Music Venue - GypsyShack
252,"
$3,352 raised of $3,300                    ",https://www.gofundme.com/greenforbernie16,"Marrero, LA","Hello, I'm Kyle Green. In May, I was elected by the Louisiana Democratic Party as a PLEO Delegate in support of Sen. Sanders. Please see link to the Louisiana Democratic Party 2016 DNC Convention Delegation for vetting purposes.  https://louisianademocrats.org/2016/05/31/louisiana-democrats-annou...",Louisiana Delegate for Bernie Fund
253,"
$3,200 raised of $3,190                    ",https://www.gofundme.com/zs2a4cp4,"Chicago, IL","Update:  I initially didnt go public with this because I didnt want to trouble anyone, and I figured I had time to regroup and land a new job.  I did inform my closest friends and family, for emotional support. They have been very supportive.   I appreciate your listening ear and a bit of empathy...","unemployed, job hunting, need  help"
254,"
$3,119 raised of $25,000                    ",https://www.gofundme.com/azyjm-marine-vet-needs-help,"San Antonio, TX","Roland Umphrey has been a friend to many, and a protector of our country. This Viet Nam era marine vet has fallen on hard times. Roland was partially disabled at the time of his leaving the military in the 70's, and is now 100% disabled medically due to diabetes. His condition prohibits him from...",DHS Class 71 Marine vet needs help!
255,"
$565 raised of $700                    ",https://www.gofundme.com/c4ynp-usa-citizenship,"Tonawanda, NY","I’m raising $700 for a very close friend of mine who is from Trinidad and is trying to become a U.S. citizen. She has already been living here for 20+ years, and is recently inspired to become a citizen of our country that she loves so much. She is a productive member of society and has 3 U.S. bo...",USA CITIZENSHIP
256,"
$2,360 raised of $10,000                    ",https://www.gofundme.com/fulperfamilyrelieffund,"Bloomsbury, NJ","On November 28th at 9pm The Bloomsbury Fire company, along with multiple agencies, responded to a fire that ripped through a Bloomsbury duplex.  The fire had only extended to one half of the house but destroyed a great amount of belongings.  The Fulpers, including extended family, have been displ...",Fulper family relief fund
257,"
$660 raised of $1,000                    ",https://www.gofundme.com/u7vr5-be-the-change-scholarship,"Laramie, WY","WILL YOU HELP US?    The cost of continuing education is an extreme concern for many families in our community and state. The ""Be the Change"" Scholarship is designed to help offset those costs. Students apply by filling out demographic information and answering two essay questions. 1. Tell us abo...",Be the Change Scholarship
258,"
$5,309 raised of $300,000                    ",https://www.gofundme.com/troen-for-congress-2020-florida-district-10,"Ocoee, FL","Fellow Floridians,  My name is Kirk Troen and I'm running for Congress in Florida's District 10.   I'm doing my best to bring some common sense to Congress. Our elected representatives spend so much time telling us about the problems of the country that they have little time left to actually DO s...",Troen for Congress 2020 Florida District 10
259,"
$862 raised of $2,000                    ",https://www.gofundme.com/GOTVpostcardstamps,"Sterling, VA","We would be so grateful for your donation for postcard stamps to send reminders to Democrats to get out and vote in the VA elections, and in national Special Elections.  The Get Out the Vote Postcard movement is entirely volunteer and is not paid for by any campaigns or candidates.  Those of us w...",Postcard Stamps to Get Out the Vote
260,"
$2,500 raised of $2,500                    ",https://www.gofundme.com/25m2mc84,"Anacortes, WA","Hey all!  It's been a while since I've had a cause of the type to approach fundraising at a personal level.  So, if you'll all indulge for a moment, this cause is of greater importance than any I've previously attempted. This past week, I was elected to attend the Democratic National Convention i...",Tim's Journey to the DNCC
261,"
$1,277 raised of $2,000                    ",https://www.gofundme.com/send-anlin-to-people039s-action,"Philadelphia, PA","My name is Anlin Wang. I'm an activist and organizer residing in Philadelphia. I am asking you for help with $2,000 to fund my upcoming leadership training. For the past year and a half, I have thrown myself into organizing, from electoral campaigns (Larry Krasner for District Attorney, Delaware...",Send Anlin to People's Action
262,"
$3,020 raised of $50,000                    ",https://www.gofundme.com/6k1ytg,"Troy, IL","""Told This 6th Grader to Buy Her Own Bakery or Build A Separate Kitchen.~ ~Donations will 100% support Chloe Stirling and ""Hey Cupcake"" to move forward with building a separate kitchen off the family's garage, as well as necessary permits.~ She has been interviewed by several local News Shows, Na...",HELP 11YR OLD CUPCAKE GIRL BUILD KITCHEN
263,"
$10,125 raised of $15,000                    ",https://www.gofundme.com/renedemonchy,"Guerneville, CA","(memorial details below)   Rene de Monchy passed away unexpectedly in his sleep August 14, 2017. Born in Bethesda, Maryland on March 27, 1949, he resided most of his adult life in the Russian River Area.   Passionate, caring, and knowledgeable, Rene (owner of HomeWorks) was renowned for resolving...",Rene de Monchy's  memorial fund
264,"
€1,175 raised of €1,000                    ",https://www.gofundme.com/sharon-nolan-local-election-campaign, ,"Hey everyone! My name is Sharon Nolan. I'm an activist and campaigner running in the Galway City Council Central Ward in the 2019 Local Elections for the Social Democrats.    You're probably wondering how I got here.   For years I was interested in politics, but never saw myself involved in it as...",Sharon Nolan's Local Election Campaign
265,"
$4,500 raised of $4,500                    ",https://www.gofundme.com/24m4ex78,"Fort Yukon, AK","I'm the northernmost Democratic National Convention Delegate for Bernie Sanders in the United States! I need your help getting to Philadelphia this July for the Democratic National Convention. I am firmly committed to the ideals of the Sanders campaign including getting big money out of politics,...",Northernmost Bernie DNC Delegate
266,"
$3,169 raised of $3,000                    ",https://www.gofundme.com/sendliztophilly,"Aurora, IL",UPDATE: Thank you. Thank you from the bottom of my heart. I am in awe of the generosity and kindness you all have shown me. I also want to specifically thank my generous anonymous matching donor. I am so grateful for that incredible gift. I wish there were words to express how deeply thankful I a...,Help Bernie Delegate Get to Philly
267,"
$1,108 raised of $10,000                    ",https://www.gofundme.com/help-us-fight-socialism,"Washington, DC","In the midst of one of the best economies this country has even seen, anti-job, anti-American politicians are relentlessly plotting to cripple the booming economy. That’s why the Job Creators Network is standing up for millions of voiceless Americans and taking the fight directly to this new soci...","Socialism Takes, Capitalism Creates"
268,"
$11,025 raised of $3,500                    ",https://www.gofundme.com/bufqs6jg,"Pearland, TX","I am Robert Williams, Messaging Committee Chairman for the Texas Coalition of Black Democrats. I attended the Texas Democratic Party State Convention in San Antonio, in June where we worked to communicate and advocate a number of key issues that are affecting our community. Our efforts were succe...",Robert William National Delegate
269,"
$240 raised of $350                    ",https://www.gofundme.com/get-nick-to-tyd-convention,"Corpus Christi, TX","I'm raising money for hotel and other associated costs to attend the Texas Young Democrats Convention in Austin on May 17-19, 2019. Any funds left over after the convention will be donated to the Coastal Bend Young Democrats.  Any help is YUGELY appreciated. It's important that our chapter of you...",Get Nick to TYD Convention
270,"
$1,005 raised of $2,804                    ",https://www.gofundme.com/help-everyone-vote,"Philadelphia, PA","My Story:  Like many of you, I consider voting in this upcoming midterm election one of the most important commitments on my to-do list. So I made it a priority to request my absentee ballot well before the application deadline. Last week, I was horrified to learn that I was in danger of being di...",Help Everyone Vote
271,"
$1,176 raised of $550                    ",https://www.gofundme.com/send-the-dems-to-the-dunwoody-july-4th-parade,"Atlanta, GA","PLEASE HELP SEND THE DEKALB DEMS TO THE DUNWOODY JULY 4th PARADE!!!  For the last two years, the Dekalb Democrats in House District 79 have had a wonderful time participating in Dunwoody’s July 4th Parade. It is a terrific visibility opportunity to let the community know that there are like-minde...",Send the Dems to the Dunwoody July 4th Parade!
272,"
$1,571 raised of $1,500                    ",https://www.gofundme.com/peter-douche-parody-site,"West Sacramento, CA","DoucheLeaks is coming! To fight the growing censorship on Twitter and social media (and my inevitable ban) I'm creating a parody website, titled DoucheLeaks, which will launch on March 31st.  This new media site (platform for the 65 million) will be free for all and consist of several parody pund...",DoucheLeaks - Media Parody Site
273,"
$11,810 raised of $20,000                    ",https://www.gofundme.com/davidandadrianne,"Guerneville, CA","The world lost two incredible people on November 23rd, 2015. David Wilson and Adrianne Chapin were adored by many. Throughout their 35-year marriage, David and Adrianne shared their warmth and generosity with a very loving and tight-knit family structure, with their friends, and to countless memb...",Help for the Wilson Family
274,"
$213 raised of $1,000                    ",https://www.gofundme.com/firstfriendsyoungdems,"Wayne, NJ",summary was NoneType,PCYD & MCYD Kickball for a Cause - First Friends
275,"
$2,540 raised of $5,250                    ",https://www.gofundme.com/70hhmig,"Vancouver, WA","Our friend and fellow activist, Terri Niles, has dedicated countless hours over the past several years organizing, advocating and otherwise working her tail off to have a positive impact on the community in Clark County. As a PCO for the CCDCC, and former Co-Chair of the Outreach Commitee, Terri...",Legal Fees for Local Activist
276,"
$325 raised of $2,000                    ",https://www.gofundme.com/jg2ar-get-me-back-on-the-road,"Lindsborg, KS","A few days ago, I was nearly killed in a hydroplane accident in heavy rain on the Kansas turnpike.  I had spent the day delivering yard signs and promotional campaign material for Kansas Democrats, and visiting some of the winners in the recent primaries, offering to help them network and distrib...",Get me back on the road
277,"
$6,680 raised of $10,000                    ",https://www.gofundme.com/qq87utyk,"Palm Springs, CA","We at Desert Stonewall Democrats are working to raise money to match $5000 offered as a reward to apprehend and convict the perpetrators of a hate crime against 2 members of the Palm Springs LGBT community.  The email I received (and of course confirmed) said this:  ""Two of Hunters patron’s (Chri...",Justice for George and Chris Zander
