funds,link,location,summary,title
"
$0 raised of $5,000                    ",https://www.gofundme.com/disavowed-republican-niece-needs-help-for-college,"Riverdale, IL","My beautiful 23-year old niece, Jada, is a Junior at the University of Illino…",Disavowed Republican Niece Needs Help for College
"
$0 raised of $5,000                    ",https://www.gofundme.com/6f5qnrk,"Universal City, TX","I’m a gay 17 almost 18 year old male, I decided to tell my parents I am a …",Kicked out for becoming a Republican
"
$0 raised of $5,000                    ",https://www.gofundme.com/republicans-for-2020,"San Antonio, TX",Republicans for 2020,Republicans for 2020
"
$0 raised of $3,000                    ",https://www.gofundme.com/help-a-young-republican-move-out,"North Hollywood, CA","If my family finds out I'm not liberal, they will kick me out. I'm 18 and ju…",help a young republican move out
"
$0 raised of $5,000                    ",https://www.gofundme.com/young-gay-republican-needs-help,"Anthem, AZ","Hi, my name is Andy. I'm a 21 year old gay Trump supporter. Recently m…",Young Gay Republican Needs Help
"
$0 raised of $850                    ",https://www.gofundme.com/azgjtz-republican-house-party,"Jackson, TN",I'm expecting Blackburn to win and wanna throw a celebration with my …,Republican House Party
"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-family,"Atlanta, GA","We’re raising more money than we usually do on our side, and they’re …",Republican  family
"
$0 raised of $20,000                    ",https://www.gofundme.com/tough-being-young-and-republican,"Houston, TX",Hi my name is Bryan. 19 years young. I won’t make this to long. I need to …,The Macias campaign
"
$0 raised of $79,000                    ",https://www.gofundme.com/success-with-republican-support,"Oswego, IL",I watched the visit to the White house by Kanye West and instantl…,Success with Republican support
"
$0 raised of $40,000                    ",https://www.gofundme.com/6cwz7cg,"North Little Rock, AR",I am raising money to send college students that are Republicans schol…,MAGA college Republicans?
"
$0 raised of $10,000                    ",https://www.gofundme.com/votecarepublican,"Pomona, CA",Democrats have turned the State of California into a twentieth centur…,VoteCARepublican
"
$0 raised of $100,000                    ",https://www.gofundme.com/vote-ca-republican,"Pomona, CA",Democrats have turned the State of California into a twentieth centur…,Vote CA Republican
"
$0 raised of $1,000                    ",https://www.gofundme.com/republicans-with-no-ride,"Jacksonville, NC",The end of the voting period is near and we NEED your votes. Please do…,Republicans with no ride
"
$0 raised of $50,000                    ",https://www.gofundme.com/reaching-out-torepublicans,"New Port Richey, FL",I'm 23 years old. I have never spoke with anyone about my political vie…,Reaching out to republicans!
"
$0 raised of $500                    ",https://www.gofundme.com/im-republican-so-patents-kicked-out,"Glen Burnie, MD",I decided to be a republican because I want to make my own choices and …,Parents kicked me out.
"
$0 raised of $50,000                    ",https://www.gofundme.com/abused-black-republican,"Atlanta, GA",I have been fired from my job for expressing support for Donald Tru…,Abused Black Republican
"
$0 raised of $3,500                    ",https://www.gofundme.com/hit-the-ground-for-republicans,"Dadeville, AL",I am hoping to raise enough to get over to Texas and knock on doors f…,Hit the Ground for Republicans
"
$0 raised of $1,500                    ",https://www.gofundme.com/hudson-young-republicans-19-kickoff,"Jersey City, NJ","The Hudson County Young Republican’s (HCYR, hereafter ref…",Hudson Young Republicans 19 Kickoff
"
$0 raised of $100.0M                    ",https://www.gofundme.com/global-networking-republican-co,"Virginia Beach, VA","You know it is bad in Virginia Beach, VA when I say"" I am having troubl…",Global Networking - Republican Co
"
$0 raised of $1.0M                    ",https://www.gofundme.com/stop-the-rhino-republicans,"Houston, TX",come on guys  act now. If you're with me then jump on aboard and if you'…,Defeating Trump
"
$0 raised of $100,000                    ",https://www.gofundme.com/remove-red-anti-republican-action,"Hot Springs National Park, AR","This is a fundraiser to help get Republicans out of all offices, natio…",Remove Red: Anti Republican Action
"
$0 raised of $5,000                    ",https://www.gofundme.com/hcqp29-save-california-republican-refugee,"Lafayette, CA",I am a Republican Refugee needing out of a Liberal shithole.  Donate t…,Save California Republican Refugee
"
$0 raised of $10,000                    ",https://www.gofundme.com/republican-warchest,"Hendersonville, TN",Raising money for the Republican War Chest.  This is a critical electi…,Republican Warchest
"
$0 raised of $25,000                    ",https://www.gofundme.com/67vhq1c,"Miami, FL",A country divided. I am an American in need of help. This is a call to aid a …,Republicans Vs Democrats
"
$0 raised of $7,000                    ",https://www.gofundme.com/support-republicans-in-hidalgo-county,"Alamo, TX",Hello Everyone I am Emanuel Martinez I live in a little border to…,Support Our President
"
$0 raised of $1,000                    ",https://www.gofundme.com/fly-home-to-vote-republican,"Fredericktown, MO",I love President Trump and i want to vote in the 2018 election to help h…,fly home to vote Republican
"
$0 raised of $5,000                    ",https://www.gofundme.com/support-young-republicans,"Athens, GA","At my institution, I have seen a profound amount of hate of Young …",Support Young Republicans
"
$0 raised of $100,000                    ",https://www.gofundme.com/democrat-vs-republican,"Mundelein, IL",Democrat Vs Republican - Who Helps More??? ODD $ Donations = …,Democrat Vs Republican
"
$0 raised of $100,000                    ",https://www.gofundme.com/republicans-for-vermont,"Poultney, VT",I am starting this account so that i can buy as much billboard space a…,Republicans for Vermont
"
$0 raised of $100,000                    ",https://www.gofundme.com/dgcek3-republican,"Maryville, TN",I think it's sickening what's happening in politics today. Want t…,Republican
"
$0 raised of $300,000                    ",https://www.gofundme.com/republican-balls,"Gulfport, MS",summary was NoneType,Republican balls
"
$0 raised of $850,000                    ",https://www.gofundme.com/fund-international-republican-party,"Liberty, MO","Founding the ""International Right Wing Party"", ""IRWP"", for the entire …","Fund International Right Wing Party, IRWP!"
"
$0 raised of $1,000                    ",https://www.gofundme.com/young-republican-outreach,"Denison, TX",We are raising money for the brand-new Red River Young Republicans’ …,Young Republican Outreach
"
$0 raised of $100,000                    ",https://www.gofundme.com/America-Republican,"Palm Beach, FL","To discourage #FakeNews, and to do my best to aid the REPUBLICAN p…",#American #Republican #Twitter
"
$0 raised of $10,000                    ",https://www.gofundme.com/stop-president-rebublin-win-in-2020,"Lehigh Acres, FL",I want to raise money to help the the democratic party win the next presi…,Stop  win for republicans in 2020
"
$0 raised of $250                    ",https://www.gofundme.com/attend-an-ohio-republican-dinner,"Dayton, OH","I need $200 dollars to attend the 2018 Ohio Republican Dinner, in …",Attend An Ohio Republican Dinner
"
$0 raised of $100,000                    ",https://www.gofundme.com/5yndx14,"Greenville, TX",Donations Funding for Maintaining the Republican party Supporter an…,Republicans Support For President
"
$0 raised of $500                    ",https://www.gofundme.com/5yeoptc,"Wilmington, NC",I am the president of the Cape Fear Community college Republicans cl…,Cfc College Republicans
"
$0 raised of $5,000                    ",https://www.gofundme.com/5wzdv4w,"Chandler, AZ",A government shutdown would be terrible for our country. Spending o…,rally the republican party
"
$0 raised of $5.0M                    ",https://www.gofundme.com/a-year-that-just-wont-stop,"Westerville, OH",A Republican told me that if I'm not happy with the government in Am…,Republican told me to leave
"
$0 raised of $350,000                    ",https://www.gofundme.com/keep-laura-on-air,"New York, NY",We're disheartened by the amount of advertisers pulling these ads from h…,Keep Laura on Air!
"
$0 raised of $3,000                    ",https://www.gofundme.com/shs-tars-growth-fund,"Sanger, TX",The Sanger High School Teen Age Republicans is a student-led grass…,SHS TARs Growth Fund
"
$0 raised of $900,000                    ",https://www.gofundme.com/republican-hip-hop-music,"Spotsylvania, VA","I am trying to get money together for studio time, music videos, and etc...…",Republican Hip Hop Music
"
$0 raised of $50,000                    ",https://www.gofundme.com/republican-app-for-news,"Sanford, NC",To have a app created  that will report news that the Mainstream Media w…,Republican  News App
"
$0 raised of $500                    ",https://www.gofundme.com/weather-station-for-city,"Republican City, NE",I am raising the money for personal meteorologist information and fo…,Weather station for city
"
$0 raised of $50.0M                    ",https://www.gofundme.com/stop-tom-steyer,"Redondo Beach, CA",summary was NoneType,Stop Tom Steyer
"
$0 raised of $1.0B                    ",https://www.gofundme.com/give-to-wall-keep-us-safe,"Saint Joseph, MI",Tired of hearing about funding for the wall.  We HAVE TO have a wall f…,Give to  wall.  Keep us safe.
"
$0 raised of $1,200                    ",https://www.gofundme.com/paypalmepoolsc8769ymkinh,"Bronx, NY",Remolinero de corazon..somo un grupo de jovenes luchadores que …,paypal.me/pools/c/8769YmKinH
"
$5,750 raised of $20,000                    ",https://www.gofundme.com/wqwmjwuk,"Leesburg, VA",Chance was a lovely boy who could make anyone smile. He fought the h…,Chance's Medical & Funeral Expenses
"
$11,160 raised of $10,000                    ",https://www.gofundme.com/unseal-the-deals,"Mission Viejo, CA",You saw what we did in the Epstein case. Now it's time to go after Cong…,Unseal the Deals!
"
$12,425 raised of $20,000                    ",https://www.gofundme.com/dont-forget-to-tip-your-cow,"Los Angeles, CA","Devin Nunes is a Republican congressman who has, in theory, r…",Don’t Forget To Tip Your Cow
"
$5,076 raised of $100,000                    ",https://www.gofundme.com/mini-aoc-for-st-jude039s-children039s-hospital,"Lake Forest, CA",summary was NoneType,Mini AOC for St. Jude's Children's Hospital
"
$449,383 raised of $500,000                    ",https://www.gofundme.com/peterstrzok,"Washington, DC","Peter Strzok, a man who has spent his entire life working to help keep …",Support for FBI Veteran Pete Strzok
"
$488,355 raised of $600,000                    ",https://www.gofundme.com/support-brett-kavanaugh,"Ocean Isle Beach, NC",Updated information: When the money started coming in for this …,Brett Kavanaugh's Family
"
$116,631 raised of $150,000                    ",https://www.gofundme.com/DonSiegelmanFilm,"Atlanta, GA",Dear Angel Donor: One thing is for sure: The movie has been VERY WE…,Don Siegelman Documentary
"
$11,745 raised of $45,000                    ",https://www.gofundme.com/nm-in-womens-march-on-washington,"Albuquerque, NM",Our Story,NM in Women's March on Washington
"
$19,485 raised of $50,000                    ",https://www.gofundme.com/prop-2-won-help-truce-defend-voters-and-patients,"Salt Lake City, UT",summary was NoneType,Save Utah's voter-approved Prop 2 & voter rights!
"
$505 raised of $100,000                    ",https://www.gofundme.com/we-stand-with-susan-collins,"Bangor, ME",We are uniting to thank Susan Collins for her principled stand agai…,We Stand With Susan Collins
"
$10,395 raised of $45,000                    ",https://www.gofundme.com/build-45,"San Juan, PR","Build 45!  Puerto Rico’s Walkway of the Presidents, located on the grou…",Build 45!
"
$2,197 raised of $4,750                    ",https://www.gofundme.com/mckinley-document-campaign,"Canton, OH",William McKinley’s handwritten application for a life insurance poli…,McKinley Document Campaign
"
$39,375 raised of $100,000                    ",https://www.gofundme.com/CoreysTRUTHsecured,"Woodland Hills, CA","￼￼  Welcome to the ""TRUTH CAMPAIGN PT 2: SECURED"" Thi…",Coreys TRUTH campaign SECURED
"
$574 raised of $250,000                    ",https://www.gofundme.com/we-the-people-will-fight-the-fake-news,"Helotes, TX","If you don’t think President Trump can lose in the 2020 election, just lo…",We the people will fight the Fake News
"
$16,665 raised of $25,000                    ",https://www.gofundme.com/theblekicfamily,"Saint Augustine, FL",My name is Angie Filipsic and I am friends with the Blekic family. My …,The Blekic Family
"
$20,520 raised of $110,000                    ",https://www.gofundme.com/vegan-justice-league-lobbying-group,"Tulsa, OK",The 1st ever Vegan Group focused on bringing back supply and dema…,Vegan Justice League Lobbying Group
"
$485 raised of $405                    ",https://www.gofundme.com/get-bb-to-minnesota,"Sacramento, CA",Hi Folks ❤️  I recently found out that I wasn’t awarded a research grant …,Get B.B. to Minnesota
"
$1,545 raised of $40,000                    ",https://www.gofundme.com/mother039s-liver-transplant,"Des Plaines, IL","Hello, my name is Shakhnoza and I am originally from Djizak, Uzbekis…",Help needed for Mother's Liver Transplant
"
€12,036 raised of €12,026                    ",https://www.gofundme.com/ara-cambridge,"Sankt Annen, SH, Germany","“Ara Mambreyan, 18 years-old, winner of 6 International Science …",Ara's Cambridge University Tuition
"
$690 raised of $600                    ",https://www.gofundme.com/political-ad,"Maurertown, VA",My latest letter to the editor will be printed as a full page ad in the NVD …,Political Ad
"
$29,281 raised of $35,000                    ",https://www.gofundme.com/CleaningGOPMess,"New York, NY","UPDATE: Two people have been arrested for stalking, trespass, and i…",Fighting the Right
"
$11,787 raised of $100,000                    ",https://www.gofundme.com/savethetappanzee,"Port Chester, NY","Greetings from the Executive Director of Save Our Tappan Zee, I…",Save OUR Tappan Zee
"
$57,162 raised of $300,000                    ",https://www.gofundme.com/women-support-christine-blasey-ford,"Bainbridge Island, WA",Official USA Today Full Page Ad - 09.25.2018 We believed Dr. Anita …,We Believe Her
"
$7,620 raised of $10,000                    ",https://www.gofundme.com/stopthespraying,"Oxford, GA",The “ship is sinking” and most Americans are still in the dark abo…,Stop the Spraying Awareness-Raising
"
$330 raised of $400                    ",https://www.gofundme.com/promote-oh12-special-election,"Columbus, OH",Voters in Congressional district OH-12 will elect their next representati…,Promote OH-12 special election
"
$3,136 raised of $15,000                    ",https://www.gofundme.com/36-days-with-maryana,"Eugene, OR",This campaign is created by friends and family of Mariana Parkhomiuk  …,36 Days with Mariana
"
$38,105 raised of $36,000                    ",https://www.gofundme.com/sutton-strong,"Allison Park, PA",A letter from Scott and Anne:  Hi everyone!  I’ve started writing and …,Scott's Cancer Treatment
"
$64,669 raised of $85,000                    ",https://www.gofundme.com/everything-trump-touches-dies-film,"Tallahassee, FL",Everything Trump Touches Dies.  Since the moment Donald Trump w…,Everything Trump Touches Dies Film
"
$11,280 raised of $40,000                    ",https://www.gofundme.com/standforcorey,"Brownsburg, IN",Stand For Corey. Corey Polen Vs ALS #StandForCorey  Originally started …,Polen Family battles ALS
"
$210 raised of $10,000                    ",https://www.gofundme.com/welcome-to-gilead-billboards,"Daphne, AL",Alabama Senators and House Representatives have voted to pas…,Welcome to Gilead billboards
"
$4,610 raised of $75,000                    ",https://www.gofundme.com/Globalhealthmedicalmission,"Miami, FL",Every Year Medical Students in Action sends an experienced team …,Global Health Medical Mission
"
$8,655 raised of $10,000                    ",https://www.gofundme.com/ken-kearns-medical-fundraiser,"Lexington, KY",Ken Kearns (https://www.facebook.com/ken.kearns.3…,Ken Kearns Medical Fundraiser
"
$6,310 raised of $25,000                    ",https://www.gofundme.com/dc-project,"Tulsa, OK","The D.C. Project is 50 women, one from every state, meeting their leg…",D.C. Project
"
$1,510 raised of $2,000                    ",https://www.gofundme.com/4irvc00,"Philadelphia, PA",Please join the Philadelphia Young Republicans for the 2nd Annual Bac…,2nd Annual PYRs Back2School Drive
"
$1,362 raised of $1,800                    ",https://www.gofundme.com/women039s-campaign-school-at-yale-tuition,"Arlington, VA","Hi all! My name is Stephanie Zemanek, and I was recently accept…",Women's Campaign School at Yale Tuition
"
$36,856 raised of $100,000                    ",https://www.gofundme.com/rombachfamily,"Marblehead, MA","On Tuesday, December 9, 2014 at about 5:30 PM, my 22-year old dau…",Rombach Family Recovery Fund
"
$11,715 raised of $15,000                    ",https://www.gofundme.com/makala039s-fight,"Breinigsville, PA","My name is Zach Roper, and I’m friends with one of the most selfle…",Makala's Fight
"
$2,570 raised of $250,000                    ",https://www.gofundme.com/belhaven,"Belhaven, NC",July 1st of 2014 our town lost our hospital due to fraud.  Our commu…,"Belhaven, NC Hospital"
"
$3,000 raised of $6,000                    ",https://www.gofundme.com/arisha-bartkevich-motor-alalia,"San Jose, CA","I’ve started this campaign to help my friend, Alena Bartkevich, who lives …",Help Arisha Start Talking
"
$2,831 raised of $25,000                    ",https://www.gofundme.com/eapen-thampy-legal-defense-fund,"Kansas City, MO","For his entire career, Eapen has stood up for the rights of people he …",Eapen Thampy Legal Defense Fund
"
$1,242 raised of $2,198                    ",https://www.gofundme.com/bring-crybaby-donny-to-cruz-rally,"Houston, TX",Support one mother's act of resistance and help tell the truth ab…,Bring Crybaby Donny to Cruz Rally
"
$2,500 raised of $3,000                    ",https://www.gofundme.com/block-bronx-bolshevik,"Bronx, NY","There’s a quiet rebellion against socialism in NY-CD14, which Alex…",Block Bronx Bolshevik
"
$7,768 raised of $20,000                    ",https://www.gofundme.com/Refugeeisnotmyname,"Malibu, CA",REFUGEE IS NOT MY NAME  The refugee crisis is the largest record…,"Refugee Is Not My Name, Documentary"
"
$25,550 raised of $50,000                    ",https://www.gofundme.com/2b2twszf,"Alexandria, VA",American Patriot Mike Flynn passed away June 23rd unexpectedly fro…,Mike Flynn Family Fund
"
$2,155 raised of $10,000                    ",https://www.gofundme.com/sbalich,"Orland Park, IL",Steve Balich February 23rd Fundraiser changed due to threats …,Steve Balich For Will County Board
"
$7,885 raised of $5,000                    ",https://www.gofundme.com/roxanne-douglas-memorial-fund,"Claremont, CA","On June 8, 2019 our mother, Roxanne Douglas (or Roxie to thos…",Roxanne Douglas Memorial Fund
"
$5,152 raised of $51,001                    ",https://www.gofundme.com/buy-back-rob-portman,"Columbus, OH","Betsy DeVos has donated $51,000 to the campaign of United States Sena…",Buy Back Rob Portman
"
$2,685 raised of $80,000                    ",https://www.gofundme.com/66kkyw8,"Milwaukee, WI","James is a wonderful little boy , born 9 years ago. with a bad left valve i…","James ,heart, diabetes patient,no insurance."
"
$210 raised of $50                    ",https://www.gofundme.com/get-me-a-new-dang-trump-cutout,"Garden City, ID","Hi!  I'm Ryan Davidson, the current Chair of the Ada County Republic…",Get me a new dang Trump cut-out!
"
$1,561 raised of $200,000                    ",https://www.gofundme.com/support-joe-arpaio-in-nyt-lawsuit,"Beverly Hills, CA",summary was NoneType,SUPPORT ARPAIO NY TIMES TAKEDOWN!
"
$3,000 raised of $3,000                    ",https://www.gofundme.com/christmas-blessings-shared,"Waukegan, IL",Here's a wonderful way to share the blessings that God has given you...w…,Christmas Blessings Shared
"
$85 raised of $10,000                    ",https://www.gofundme.com/Fl-Citizens--Right-To-Petition-Legal-Defense-Fund,"Ocala, FL",FLORIDA CITIZENS RIGHT TO PETITION      LEGAL DEFENSE FU…,FL CITIZENS RIGHT TO  PETITION  Legal Defense Fund
"
€3,245 raised of €3,000                    ",https://www.gofundme.com/muromachi-period-samurai-armour,"Palermo, SC, Italy",Hello there :)   My name is Raffaello but I'm better known with my you…,Armor up! Samurai/Roman/Crusader
"
$15,501 raised of $15,000                    ",https://www.gofundme.com/protectourchildrenegg2017,"Sykesville, MD",A story about the #AltWHEasterEgg in local news: http://baltimore.cbs…,Protect Our Children Easter Egg
"
$666 raised of $666                    ",https://www.gofundme.com/Senate-Sins,"San Francisco, CA","I am a member of Satanic Bay Area who is a rape survivor, I also witne…",Sins of the Senate
"
$30,000 raised of $30,000                    ",https://www.gofundme.com/TheSociopath,"Charlotte, NC",He's been called an imposter. A fraud. A charlatan. By his own ghostwrite…,The Sociopath
"
$8,118 raised of $10,000                    ",https://www.gofundme.com/WashingtonBabylon,"Washington, DC",“Noise is relative to the silence preceding it. The more absolute th…,WashingtonBabylon.com
"
$4,861 raised of $1.0B                    ",https://www.gofundme.com/save-ct-from-the-government,"Milford, CT",If you hate this face then you live in Connecticut. If you live in Connect…,Gov's Gotta Go!
"
$11,133 raised of $68,000                    ",https://www.gofundme.com/helpthevancefamilykeeptheirhome,"Tulsa, OK","James Vance,  April 2, 1953 - June 5, 2017  Kate Worley,  March 16, 195…",Help Vance Family keep their home
"
$12,938 raised of $35,000                    ",https://www.gofundme.com/help-sandra-meyer-with-medical-expenses-for-dan,"Loveland, CO","As we reach our first plateau of funding, Dan and Sandra find them…",Help Sandra Meyer with medical expenses for Dan.
"
$10,195 raised of $20,000                    ",https://www.gofundme.com/tom-sirard-memorial-fund,"Enfield, CT","￼On Friday morning April 26th, Thomas James Sirard sadly took hi…",For the Family of Tom Sirard
"
$5,960 raised of $12,000                    ",https://www.gofundme.com/terencemckennaarchives,"Goleta, CA",“Kevin has put an incredible amount of time and effort into this excitin…,The Terence McKenna Archives
"
$5,755 raised of $5,500                    ",https://www.gofundme.com/RNCGatheringEpic,"Marietta, GA","Howdy, y'all,   My name is Nathan Rabin and I have been writing profe…",Nathan's Gathering & RNC adventure!
"
$47,771 raised of $50,000                    ",https://www.gofundme.com/lastchancestoptrump,"Washington, DC",IT'S HAPPENING!!!!  We have raised enough to launch a full-scale nation…,DEFEND DEMOCRACY. STOP TRUMP.
"
$6,060 raised of $10,000                    ",https://www.gofundme.com/2cn8pmk,"Castle Rock, CO","I am Kendal Unruh and I was elected by the voters in CO (yes, there we…",#VoteYourConscience
"
$15,828 raised of $15,000                    ",https://www.gofundme.com/altWhiteHouseEasteregg,"Sykesville, MD",Thank you for your interest in this campaign.  I'm sorry we do not hav…,Alt White House Easter Egg 2018
"
$13,738 raised of $25,000                    ",https://www.gofundme.com/occupythesenate,"Los Angeles, CA","A message from Jennifer Levin, Sarah Timberman, Nina Tassler, Andrea …",Occupy the Senate: Save Healthcare
"
$1,550 raised of $5,000                    ",https://www.gofundme.com/archiveraiding,"Amesbury, MA",Hello everybody! I'm working on important #TrumpRussia research…,#TrumpRussia archive raiding
"
$3,911 raised of $4,000                    ",https://www.gofundme.com/def-con-26-election-security,"Brooklyn, NY",ELECTION SECURITY NEEDS YOUR SUPPORT!  Hello! I'm Lulu Friesdat…,DEF CON 26 - Election Security
"
$13,785 raised of $15,000                    ",https://www.gofundme.com/alt-white-house-easter-egg-2019,"Sykesville, MD",“Protect Our Children's Future” 2019 egg is an alternative answer …,Alt White House Easter Egg 2019
"
$5,666 raised of $5,000                    ",https://www.gofundme.com/45qg9cw,"Somerset, MA","Our dear son, William ""Tucker"" Keene, was taken from this world …",Tucker Keene Memorial Fund
"
$30,906 raised of $100,000                    ",https://www.gofundme.com/1812Homestead,"Willsboro, NY","WHAT IS THE 1812 HOMESTEAD?  The 1812 Homestead, located in W…",1812 Homestead Fundraiser
"
$9,777 raised of $15,000                    ",https://www.gofundme.com/johnpfeilseason,"New York, NY",Hi. My name is Blake. I am one of three children who was co-created …,#JohnPfeilSeason
"
$1,630 raised of $2,500                    ",https://www.gofundme.com/build-the-wall-10-feet-higher,"Moscow, ID","In late 2016, the WSU College Republicans constructed an 8x20 …",Build The Wall: 10 Feet Higher
"
$3,395 raised of $5,500                    ",https://www.gofundme.com/red-state-postcard-project,"Brooklyn, NY",Help flood Republicans in Congress with anti-Trump postcards mailed …,Six Degrees of Resistance POSTCARDS
"
$3,145 raised of $3,000                    ",https://www.gofundme.com/couragecampaign,"Sunnyside, NY",Our Campaign: We are going to Washington D.C. February 21st-23…,Call for Courage
"
$435 raised of $250.0M                    ",https://www.gofundme.com/heathcare-for-devin-nunes039-cow,"Woodacre, CA",summary was NoneType,COW-mprehensive Heath Care for Devin Nunes' Cow
"
$1,167 raised of $5,000                    ",https://www.gofundme.com/help-me-resist-trump-and-the-gop,"Austin, TX",After five years as co-founder and main writer of Forward Progressive…,Help Me Resist Trump and the GOP
"
$8,140 raised of $7,000                    ",https://www.gofundme.com/protest-in-dc-without-traveling-there,"Palo Alto, CA",Are you terrified that rule of law is ending in America? Do you want to …,Protest in DC without traveling there!
"
$2,230 raised of $3,900                    ",https://www.gofundme.com/ErikJill2016,"Chico, CA",UPDATE! #FreeRedFawn #DefundDAPL #BankExit www.Fre…,Jill2016 Volunteer Coordinator CA
"
$2,592 raised of $10,000                    ",https://www.gofundme.com/stand-up-to-trump,"Woodland Hills, CA","SUMMARY: Jill put herself out there, facing off with Donald Trump. Let’s …",Help Stand Up to Donald Trump
"
$8,475 raised of $12,000                    ",https://www.gofundme.com/khalilkirkland,"Jacksonville, NC","On Sunday, January 3rd, 2016...Carl Eisert and Khalil Kirkland were  bru…",JUSTICE Khalil & Carl Families
"
$5,159 raised of $13,000                    ",https://www.gofundme.com/we-go-high,"Hamilton, NY","Conversations that exposed racism, sexism, rape culture, and other big…",We Go High
"
$1,187 raised of $100,000                    ",https://www.gofundme.com/fight-facebook-censorship,"Atlanta, GA","On Thursday, October 11, 2018, Facebook unpublished over 800 a…",Fight Facebook Censorship
"
$2,000 raised of $2,000                    ",https://www.gofundme.com/ArkansasBerniecrat,"Batesville, AR","My name is Dorianne Dias-Koonopakarn. I am an educator, a …",Help Send Ark Berniecrat to the DNC
"
$7,776 raised of $50,000                    ",https://www.gofundme.com/Trump2020Trumpunitybridgetour,"Livonia, MI",UPDATE PLEASE SHARE  !!!  THANK YOU FOR YOUR ENCOURAGIN…,TRUMP 2020  TRUMP UNITY BRIDGE TOUR
"
$1,876 raised of $5,000                    ",https://www.gofundme.com/w8e89-help-me-study-at-university-of-minnesota,"Washington, DC",My name is Hayk Mardanyan. I am one of a handful of international stu…,Help me study at University of Minnesota
"
$6,902 raised of $6,000                    ",https://www.gofundme.com/meyers-for-us-senate,"Saint George, UT","To donate online, click Donate Now above.  To donate by check:  mail to …",Meyers for US Senate
"
$1,564 raised of $2,500                    ",https://www.gofundme.com/hangers-for-humanity,"New York, NY","As you all know, Ohio Republican Governor, John Kasich, just signe…",Hangers for Humanity
"
$600 raised of $12,000                    ",https://www.gofundme.com/kv7vwn-my-journey,"Webster, New Hampshire",I am raising money because I don’t have insurance. I don’t make enoug…,My journey
"
$175 raised of $5,000                    ",https://www.gofundme.com/p949k-justice-for-baby-isaac,"Bangor, ME",My son Isaac has been cut off access to his dad (myself) whom loves very…,Reunite the Burnett’s
"
$10,560 raised of $10,000                    ",https://www.gofundme.com/marchfortruthchi,"Chicago, IL","Support the March for Truth, and join concerned citizens in Chicago, Ne…",March for Truth Chicago
"
$3,046 raised of $10,000                    ",https://www.gofundme.com/a-grassroots-superpac,"South Burlington, VT",My name is Dan Barkhuff and I'm the President of Veterans For Respons…,A Grassroots SuperPAC
"
$310 raised of $100,000                    ",https://www.gofundme.com/resistance-media-legal-fees,"Falls Church, VA",[UPDATE] You won't believe what's going on in Mike's Las Vegas trial. …,Mike Stark's Resistance Media Legal Costs
"
$2,500 raised of $2,500                    ",https://www.gofundme.com/2a97gqs,"Shawnee, KS","Thank you very much, my name is Sarah Parrish I'm from Merriam, i…",Sarah Parrish Bernie Delegate
"
$2,835 raised of $4,000                    ",https://www.gofundme.com/not-one-more-generation,"Powhatan, VA","Equal means equal and the Constitution, as interpreted by the …",Not One More GenERAtion
"
$1,160 raised of $5,000                    ",https://www.gofundme.com/tracy-taylor-for-mayor,"Albany, GA",Tracy Taylor is running for Mayor on the behalf of the American people…,Tracy Taylor For Mayor
"
$810 raised of $75,000                    ",https://www.gofundme.com/create-the-democrat-dossier,"Lakehead, CA","Regardless of your political affiliation, you are probably intere…",Create The Democrat Dossier
"
$1,310 raised of $14,000                    ",https://www.gofundme.com/artyom-kosyan-UChicago-tuition, ,"Hello! I am Artyom -  medalist of 14 International Science Olympiads, …",University of Chicago | Tuition
"
$6,390 raised of $6,500                    ",https://www.gofundme.com/2azb8mk,"Cleveland, OH","A “comixcast” is a live feed of political comics and YouTube videos, in thi…",Comixcast from the RNC in Cleveland
"
$2,631 raised of $4,150                    ",https://www.gofundme.com/john-parker-socialist-4-us-senate,"Los Angeles, CA","DONATE TO THE FIGHTING FUND!  John Parker, a lifelong socialist and …",Socialist John Parker 4 U.S. Senate
"
$3,418 raised of $4,250                    ",https://www.gofundme.com/jrmarjefferson,"Elk Grove, CA",www.facebook.com/jrmarjefferson ‌ Greetings my fellow Americans.  …,Leave No Delegate Behind.
"
$2,050 raised of $2,050                    ",https://www.gofundme.com/dreamers-to-dc,"Saint Paul, MN","Hi, I am Sonia and as you may know, I am a DACA Recipitant. As of Octob…",Dreamers to D.C.
"
$1,420 raised of $25,000                    ",https://www.gofundme.com/4ex5k-troy-worden-legal-defense-fund,"Berkeley, CA",An Alameda County Superior Court Commissioner ordered Yvette Fel…,Troy Worden Legal Defense Fund
"
$3,842 raised of $5,000                    ",https://www.gofundme.com/inauguration2,"New York, NY",We are going to shoot a documentary of the 2017 Inaugur…,Inauguration Week 2017
"
$5,750 raised of $15,000                    ",https://www.gofundme.com/OMalleyTheMovie,"Los Angeles, CA",One man's quest to free all of Ireland will impact his generations to come…,O'MALLEY - A USC MFA Thesis Film
"
$4,115 raised of $100,000                    ",https://www.gofundme.com/ShowMeTheVotes,"Wichita, KS",Ph.D. statistician Beth Clarkson would like to audit the vo…,Show Me The Votes - Beth Clarkson
"
$2,750 raised of $2,800                    ",https://www.gofundme.com/marcperez4tedcruz,"Puyallup, WA",My name is Marc Perez and I have been elected to be one of three Del…,RNC Convention 4 Cruz by Marc Perez
